ClusterNo,raw_doc
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있어 서.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있 음.
3,맛있어 요.
3,맛있 음.
3,맛있어 서.
3,맛있다.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있 음.
3,맛있다.
3,맛있 음.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있어 서.
3,맛있어 서요.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있 음.
3,맛있 음.
3,맛있다.
3,맛있어 서.
3,맛있 음.
3,맛있 음.
3,맛있어 서.
3,맛있어 서.
3,맛있 음.
3,맛있다.
3,맛있다.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있어 서.
3,맛있다.
3,맛있다.
3,맛있어 서.
3,맛있 음.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있어 서.
3,맛있다.
3,맛있어 서.
3,맛있 음.
3,맛있다.
3,맛있다.
3,맛있 음.
3,맛있다.
3,맛있다.
3,맛있어 서.
3,맛있 음.
3,맛있다.
3,맛있 음.
3,맛있 음.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있 음.
3,맛있어 서.
3,맛있 음.
3,맛있어 서.
3,맛있다.
3,맛있어 서.
3,맛있 음.
3,맛있다.
3,맛있다.
3,맛있 음.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있어 서.
3,맛있 음.
3,맛있어 서.
3,맛있다.
3,맛있다.
3,맛있어 서.
3,맛있다.
3,맛있 음.
3,맛있다.
3,맛있 음.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서요.
3,맛있 습니다.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있 음.
3,맛있다.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있으 니까 요 ~.
3,맛있다.
3,맛있다.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있 음.
3,맛있다.
3,맛있어 서.
3,맛있었 어.
3,맛있다.
3,맛있다.
3,맛있어 서.
3,맛있어 요.
3,맛있어 서.
3,맛있어 서.
3,맛있 음.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있으 니 가.
3,맛있어 요.
3,맛있다.
3,맛있 어서 이다.
3,맛있어 서.
3,맛있어 서요.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있어 서.
3,맛있 음.
3,맛있 음.
3,맛있어 서.
3,맛있다.
3,맛있으 니까.
3,맛있어 서.
3,맛있어 요.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있 음.
3,맛있어 서.
3,맛있다.
3,맛있다.
3,맛있어 서.
3,맛있다.
3,맛있어 요.
3,맛있어 요.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있다.
3,맛있다.
3,맛있다.
3,맛있다.
3,맛있 음.
3,맛있어 서.
3,맛있어 서.
3,맛있 음.
3,맛있 음.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있 음.
3,맛있다.
3,맛있 음.
3,맛있 음.
3,맛있다.
3,맛있어 요.
3,맛있어 서.
3,맛있으 니까.
3,맛있 음.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있어 서.
3,맛있다.
3,맛있다.
3,맛있네.
3,맛있어 서.
3,맛있어 서.
3,맛있 음.
3,맛있다.
3,맛있다.
3,맛있어 서.
3,맛있다.
3,맛있어 서.
3,맛있 음.
3,맛있 음.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있으 니까.
3,맛있 음.
3,맛있 음.
3,맛있 음.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있 음.
3,맛있어 서.
3,맛있다.
3,맛있 음.
3,맛있다.
3,맛있다.
3,맛있어 서.
3,맛있어 요.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있다.
3,맛있어 요.
3,맛있다.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있 음.
3,맛있어 서.
3,맛있다.
3,맛있다.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있 음.
3,맛있 음.
3,맛있어 서 ?.
3,맛있다.
3,맛있 음.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있 음.
3,맛있어 서 !.
3,맛있다 !.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있다.
3,맛있 음.
3,맛있다.
3,맛있어 서.
3,맛있어 서 !.
3,맛있어 서.
3,맛있 음.
3,맛있 습니다.
3,맛있어 서.
3,맛있 음.
3,맛있어 서.
3,맛있어 서.
3,맛있 음.
3,맛있어 서.
3,맛있 음.
3,맛있어 서.
3,맛있다.
3,맛있어.
3,맛있어 서.
3,맛있어 요.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있다.
3,맛있다.
3,맛있다.
3,맛있다.
3,맛있어 서.
3,맛있 음.
3,맛있다.
3,맛있 음.
3,맛있어 서.
3,맛있 음.
3,맛있어 서.
3,맛있다.
3,맛있어 요.
3,맛있어 서.
3,맛있다.
3,맛있어 서요.
3,맛있어 서.
3,맛있다.
3,맛있 음.
3,맛있어 서.
3,맛있다.
3,맛있 음.
3,맛있 음.
3,맛있어 서.
3,맛있 음.
3,맛있어 서.
3,맛있다.
3,맛있 습니다.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있 음.
3,맛있 습니다.
3,맛있다.
3,맛있어 서.
3,쌉 쌀 하고 맛있 음.
3,맛있 음.
3,나 한테 맛있어 서.
3,맛있어 요.
3,맛있다.
3,맛있어 서.
3,맛있으 니까.
3,맛있어 서.
3,맛있어 서.
3,맛있으 니깐.
3,맛있어 서.
3,맛있 음.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있 음.
3,맛있 음.
3,맛있어 서.
3,맛있 음.
3,맛있 음.
3,맛있 음.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있 음.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
3,맛있다.
3,맛있어 서.
3,맛있어 서.
3,맛있어 서.
4,부드러운 목 넘김 이 좋 다 맛 도 부드러워 좋 다.
4,목 넘김 이 좋 고 부드럽 다.
4,부드럽 고 목 넘김 이 좋 다.
4,목 넘김 의 부드러움.
4,목 넘김 이 부드럽 고 맛 이 좋 음.
4,부드러운 목 넘김.
4,부드럽 고 목 넘김 이 좋 다.
4,목 넘김 이 부드럽 다.
4,목 넘김 이 부드러움.
4,목 넘김 이 부드러움.
4,부드러운 목 넘김.
4,목 넘김 이 부드러워 서.
4,목 넘김 이 부드러움.
4,목 넘김 이 부드러움.
4,부드럽 고 목 넘김 이 좋 다.
4,목 넘김 이 부드러워 서.
4,맛 이 깔끔하다 목 넘김 이 좋 다 부드럽 다.
4,목 넘김 이 부드러워 요.
4,목 넘김 이 부드러워 서.
4,목 넘김 이 부드러워 서.
4,부드럽 고 목 넘김 이 좋 음.
4,목 넘김 이 부드럽 다.
4,부드러워 서 목 넘김 이 좋 아요.
4,부드러워 서 목 넘김 이 좋 아서.
4,목 넘김 이 부드러움.
4,부드러운 목 넘김.
4,맛 도 좋 고 목 넘김 이 부드럽 다.
4,맛 이 좋 다 목 넘김 이 부드럽 다.
4,목 넘김 이 부드러움.
4,부드러운 맛 이 목 넘김 이 좋 다.
4,목 넘김 이 부드럽 고 맥주 맛 이 좋 다.
4,목 넘김 이 부드럽 다.
4,목 넘김 이 부드러워 서 ~.
4,목 넘김 이 부드러움.
4,목 넘김 이 부드럽 다.
4,목 넘김 이 부드럽 다.
4,목 넘김 이 부드럽 고 맛 이 좋 다.
4,부드럽 고 목 넘김 이 좋 음.
4,부드러운 목 넘김 이 좋 다.
4,부드럽 고 목 넘김 이 좋 다.
4,부드러운 목 넘김.
4,목 넘김 이 부드러워 서.
4,부드러운 목 넘김.
4,부드럽 고 목 넘김 이 좋 아서.
4,목 넘김 이 부드러워 서.
4,맛 이 부드럽 고 목 넘김 이 깔끔하고 좋 다.
4,부드럽 고 목 넘김 이 좋 아서.
4,목 넘김 이 부드럽 다.
4,부드럽 고 목 넘김 이 좋 다.
4,목 넘김 이 부드럽 다.
4,부드러운 목 넘김.
4,부드러운 목 넘김.
4,목 넘김 이 부드러워 요.
4,목 넘김 이 부드러움.
4,목 넘김 이 부드럽 다.
4,맛 이 좋 고 목 넘김 이 부드럽 다.
4,목 넘김 이 부드러움.
4,목 넘김 이 부드럽 다.
4,목 넘김 이 부드럽 고 맥주 맛 이 좋 습니다.
4,목 넘김 이 부드럽 다.
4,목 넘김 이 부드러워 서.
4,목 넘김 이 부드럽 고 좋 아서.
4,목 넘김 이 부드러움.
4,목 넘김 이 부드러워 서.
4,목 넘김 이 좋 고 부드럽 다.
4,목 넘김 이 좋 다 맛 이 부드럽 다.
4,부드럽 고 목 넘김 이 좋 다.
4,맛 이 부드럽 고 목 넘김 이 좋 다.
4,부드럽 고 목 넘김 이 좋 음.
4,부드럽 고 목 넘김 이 좋 아서.
4,목 넘김 이 부드러워 서.
4,부드러운 목 넘김.
4,목 넘김 이 부드럽 다.
4,부드럽 고 목 넘김 이 좋 다.
4,목 넘김 이 부드럽 다.
4,목 넘김 이 부드럽 고 맛 이 좋 다.
4,목 넘김 이 부드럽 다.
4,목 넘김 이 부드러워 서.
4,목 넘김 이 부드럽 다.
4,부드러운 목 넘김.
4,목 넘김 이 부드럽 다.
4,목 넘김 이 부드러움.
4,목 넘김 이 부드러워 서.
4,목 넘김 이 좋 고 부드러워 서.
4,목 넘김 이 부드럽 다.
4,부드럽 고 목 넘김 이 좋 아서.
4,목 넘김 이 좋 고 부드럽 다.
4,부드러운 맛 과 목 넘김 이 좋 습니다.
4,목 넘김 이 부드럽 다.
4,목 넘김 이 부드러움.
4,목 넘김 이 부드럽 다.
4,부드러 우 면서 목 넘김 이 좋 다.
4,부드럽 고 목 넘김 이 좋 다.
4,목 넘김 이 부드럽 다.
4,목 넘김 이 부드럽 다.
4,부드러운 맛 떄문 에 목 넘김 이 좋 아서.
4,목 넘김 이 부드럽 다.
4,부드럽 고 목 넘김 이 좋 아서.
4,목 넘김 이 부드럽 고 맛 이 좋 다.
4,맛 이 부드럽 고 목 넘김 이 좋 다.
4,부드러운 목 넘김.
4,부드러운 목 넘김.
4,목 넘김 이 부드러움.
4,목 넘김 이 부드러워 서.
4,목 넘김 이 좋 고 부드럽 다.
4,목 넘김 이 부드러워 서.
4,목 넘김 이 부드러워 서.
4,맛 이 부드럽 고 목 넘김 이 좋 다.
4,맛 이 좋 음 목 넘김 이 부드러움.
4,목 넘김 이 부드러워 서.
4,부드럽 고 목 넘김 이 좋 아서.
4,부드러운 맛 과 목 넘김.
4,목 넘김 이 부드러워 요.
4,부드러운 목 넘김.
4,목 넘김 이 부드러워 서.
4,부드럽 고 목 넘김 이 좋 다.
4,맥주 목 넘김 이 부드럽 다.
4,맛 이 부드럽 고 목 넘김 이 좋 다.
4,부드러운 목 넘김.
4,목 넘김 이 부드러움.
4,맥주 의 맛 이 뭔가 부드럽 고 목 넘김 이 좋 음.
4,부드럽 고 목 넘김 이 좋 다.
4,부드러운 목 넘김.
4,목 넘김 이 부드러움.
4,목 넘김 이 부드러움.
4,맛 이 부드러워 목 넘김 이 좋 음.
5,톡 쏘는 맛.
5,톡 쏘아 서.
5,맛 이 좋 음 톡 쏨.
5,톡 쏘는 맛 이 좋 다.
5,톡 쏘는 맛 이 좋 아서.
5,톡 쏘는 맛 이 좋 다.
5,맛 이 좋 아서요 톡 쏘 ㅁ.
5,톡 쏘는 맛 이 좋 다.
5,톡 쏘는 맛 이 좋 다.
5,톡 쏘는 맛 이 좋 음.
5,톡 쏘는 맛 이 좋 다.
5,톡 쏘는 맛 이 좋 아서.
5,톡 쏘는 맛 이 좋 음.
5,톡 쏘는 맛.
5,톡 쏘는 맛 이 좋 아서.
5,톡 쏘는 맛.
5,톡 쏘는 맛.
5,톡 쏘는 맛.
5,톡 쏘는 맛 이 좋 아서.
5,톡 쏘는 맛.
5,톡 쏘는 맛 이 좋 다.
5,톡 쏘는 맛 이 좋 아요.
5,톡 쏘는 맛 이 좋 다.
5,톡 쏘는 맛.
5,톡 쏘는 맛.
5,톡 쏘는 맛 이 좋 아서.
5,톡 쏘는 맛 이 좋 아서.
5,톡 쏘는 맛 이 좋 고 깔끔하다.
5,톡 쏘는 맛.
5,톡 쏘는 맛.
5,톡 쏘는 맛 이 좋 아요.
5,톡 쏘는 맛 이 좋 다.
5,톡 쏘는 맛 이 좋 아서.
5,톡 쏘는 맛.
5,톡 쏘는 맛 이 좋 아서.
5,톡 쏘는 맛.
5,톡 쏘는 맛 이 좋 다.
5,톡 쏘는 맛 이 좋 다.
5,톡 쏘는 맛 이 좋 다.
5,톡 쏘는 맛 이 좋 다.
5,톡 쏘는 맛.
5,톡 쏘는 맛 이 좋 아서.
5,톡 쏘는 맛 이 좋 아서.
5,톡 쏘는 맛 이 좋 다.
5,톡 쏘는 맛 이 좋 음.
5,톡 쏘는 맛 이 좋 음.
5,톡 쏘는 맛.
5,톡 쏘는 맛.
5,맥주 맛 ~ 톡 쏘는 맛.
5,깔끔하고 톡 쏘는 맛 이 좋 다.
5,톡 쏘는 맛.
5,톡 쏘는 맛.
5,톡 쏘는 맛 이 좋 아서.
5,톡 쏘는 맛 이 좋 다.
5,맛 이 맥주 답 게 톡 쏘면 서 쌉 쌀 하 다.
5,톡 쏘는 맛.
5,톡 쏘는 맛 이 좋 아서.
5,톡 쏘는 맛 이 좋 다.
5,톡 쏘는 맛.
5,톡 쏘는 맛 이 좋 음.
5,톡 쏘는 맛 도 있는 데 light 라서.
6,깔끔하다.
6,깔끔해 요.
6,깔끔함.
6,깔끔함.
6,깔끔해서.
6,깔끔해서.
6,깔끔하 므로.
6,깔끔해서.
6,깔 끔.
6,깔끔하다.
6,깔끔해서.
6,깔끔해서.
6,깔끔하다.
6,깔끔해서.
6,깔끔해서.
6,깔 끔.
6,깔끔해서.
6,깔끔하다.
6,깔끔하다.
6,깔끔함.
6,깔끔함.
6,깔끔해서.
6,깔끔함.
6,깔 끔.
6,깔 끔.
6,깔끔함.
6,깔끔해서.
6,깔끔하다.
6,깔끔하다.
6,깔끔하다.
6,깔 끔.
6,깔 끔.
6,깔끔해서.
6,깔끔함.
6,깔끔해서.
6,깔끔하다.
6,깔끔함.
6,깔끔하다.
6,깔끔함.
6,깔끔함.
6,깔끔해서.
6,깔끔하다.
6,깔끔함.
6,깔끔해서.
6,깔끔함.
6,깔끔하다.
6,깔끔하다.
6,깔끔해서.
6,깔끔해서.
6,깔끔해서.
6,깔끔함.
6,깔끔하다.
6,깔끔함.
6,깔끔하다.
6,깔끔해서.
6,깔끔하다.
6,깔끔해서.
6,깔끔함.
6,깔끔해서.
6,깔 끔.
6,깔 끔.
6,깔끔하다.
6,깔 끔.
6,깔끔하다.
6,깔끔함.
6,깔끔함 ??.
6,깔끔하다.
6,깔끔하다.
6,깔끔해서.
6,깔끔해서.
6,깔끔하다.
6,깔끔해서.
6,깔끔하다.
6,깔끔해 요.
6,깔끔함.
6,깔끔함.
6,깔끔하다.
6,깔끔하다.
6,깔 끔.
6,깔 끔.
6,깔끔해서.
6,깔끔해서.
6,깔 끔.
6,깔끔해서.
6,깔끔하다.
6,깔끔해서.
6,깔끔하다.
6,깔끔함.
6,깔끔함.
6,깔끔함.
6,깔끔하다.
6,깔끔하다.
6,깔끔해서.
6,깔끔해서.
6,깔끔하다.
6,깔끔해서.
6,깔끔함.
6,깔끔해서.
6,깔끔해서.
6,깔끔해서.
6,깔 끔.
6,깔끔함.
6,깔끔해서.
6,깔끔함.
6,깔끔함.
6,깔끔해서.
6,깔끔함.
6,깔끔하다.
6,깔끔함.
6,깔끔하다.
6,깔끔해서 a.
7,부드러운 맛.
7,맛 이 부드러워 서.
7,부드러운 맛.
7,맛 이 부드럽 다.
7,맛 이 부드러워 서.
7,맛 이 부드럽 다.
7,부드러운 맛.
7,맛 이 부드러움.
7,맛 이 부드럽 다.
7,부드러운 맛.
7,맛 이 부드럽 다.
7,맛 이 부드럽 다.
7,부드러운 맛.
7,부드러운 맛.
7,맛 이 부드러워 서.
7,맛 이 부드럽 다.
7,맛 이 부드럽 다.
7,부드러운 맛.
7,부드러운 맛.
7,부드러운 맛.
7,맛 이 부드러워 서.
7,맛 이 부드러워 서.
7,부드러운 맛.
7,맛 이 부드럽 다.
7,맛 이 부드럽 다.
7,부드러운 맛.
7,맛 이 부드럽 다.
7,맛 이 부드러워 서요.
7,맛 이 부드러워 서.
7,부드러운 맛.
7,부드러운 맛.
7,맛 이 부드러워 서.
7,맛 이 부드럽 다.
7,맛 이 부드럽 다.
7,맛 이 부드러움.
7,맛 이 부드러워 서.
7,맛 이 부드럽 다.
7,맛 이 부드럽 다.
7,부드러운 맛.
7,맛 이 부드러워 서.
7,부드러운 맛.
7,맛 이 부드러워 서.
7,부드러운 맛 ?.
7,맛 이 부드러워 서.
7,부드러운 맛.
7,부드러운 맛.
7,맛 이 부드럽 다.
7,부드러운 맛.
7,부드러운 맛.
7,부드러운 맛.
7,맛 이 부드럽 다.
7,맛 이 부드러워.
7,부드러운 맛.
7,맛 이 부드러워 서.
7,맛 이 부드러워 서.
7,맛 이 부드러워 서.
7,맛 이 부드럽 다.
