clusterno,,docNo,raw_doc
2,9,346,효과가 즉시나타남
2,10,1275,효과가 즉시 잘 나타났다
2,11,2044,효과가 바로 나타나서
3,0,712,잘모름
3,1,468,잘모르겠음
3,2,84,모름
3,3,2509,몰라서
3,4,2758,잘모르겠다
4,0,1025,보통이라서
4,1,390,보통임
4,2,2185,보통이니까
4,3,491,보통이다
4,4,93,보통이라서
4,5,318,보통이라서
4,6,815,보통이다
5,0,1871,효과가 빠르게 왔다
5,1,644,효과가 빠르다
5,2,2552,빠른 효과를 보았다.
5,3,454,효과가 빠르다
5,4,1276,빠른효과
5,5,106,효과가 빠르다
5,6,235,효과빠름
5,7,108,효과가 빨라서
5,8,2766,효과가 빠르다
5,9,1423,효과가 빠름
5,10,689,효과가 빠르다
5,11,2292,효과가 빠르다
5,12,121,효과가 빠르다
5,13,2168,효과가 빠름
5,14,857,효과가 빠르다
5,15,2842,효과가빠름
5,16,1452,효과가 빠름
5,17,1148,효과가 매우 빠르다
5,18,1853,효과가 빠르다
5,19,159,효과가 빠름
6,0,131,시원하다해서
6,1,709,시원
6,2,1335,시원하다
6,3,1159,시원하다. 잘 듣는다.
6,4,988,시원함
6,5,1453,별로 시원한 효과가 없음
7,0,641,일시적이지만 효과가있다고 하니..
7,1,2531,일시적 효과가 좋았음
7,2,2149,일시적이다
7,3,875," 
효과가 일시적이긴 했지만 좋았다"
7,4,792,일시적인 효과
7,5,2388,일시적인효과만있다
7,6,1397,큰 효과를 못봤고 일시적이다.
7,7,1560,일시적인 효과를 보아서
7,8,1176,효과가 일시적
7,9,831,일시적인 효과
7,10,220,일시적이라서
7,11,1982,일시적인 효과
7,12,735,일시적 효과
8,0,425,효과가 좋은 편이다.
8,1,1868,효과있는편
8,2,2414,잘 듣는편이다
8,3,1790,효과가 있는편이다.
8,4,2465,자주 쓰는 편이 아니에요
9,0,1351,"효과가 신속하며, 사용이 편리함"
9,1,452,편리하고 효과좋다
9,2,2125,사용이 편리해서. 효과가 좋아서
9,3,606,편리해서
9,4,1087,사용하기 편리하고 어느 정도 효과가 있어서
10,0,783,그대로 괜찮음
10,1,1595,괜찮았다
10,2,1427,그럭저럭 괜찮았다.
10,3,453,분사력도 괜찮고 가격대비 용량도 괜찮음
10,4,891,효과가 괜찮다
10,5,685,효과가 괜찮았다
10,6,1726,효과가 괜찮다
10,7,895,효과가 괜찮았다
11,0,1186,즉각적인 효과
11,1,1271,효과가 즉각적이지 않다
11,2,2748,효과가 즉각적이라서 좋다
11,3,555,효과가 즉각적이다
11,4,1692,즉각적인 효과
11,5,1858,즉각적인 효과
12,0,1312,효과가 많지는 않았던것같다
12,1,577,효과가 좋은 것 같아서
12,2,2480,그리 큰 효과가 있던 것이 아니라서
12,3,2017,다른걸 안써봐서
12,4,2150,효과는 있는 것 같다
12,5,711,잘 맞는것 같다.
12,6,1097,가끔 효과가 있는 것 같다
12,7,1018,효과가 좋은것 같아서
12,8,716,효과없었던것 같음
12,9,1581,그냥저냥 효과가있는것같다
13,0,2048,그냥 무난하게 쓸만하기 때문
13,1,683,쓰고나서는 코가 좀 편해졌다고 하니까요
13,2,1029,적당한것 같아서
13,3,1030,드라마틱한 효과는 없기 때문이다.
13,4,1031,조금이라도 완화 시켜줘서
13,5,1035,지속적인 효과보다는 일시적인 효과가 있고 뿌렸을때 목으러 넘어오는 느낌이 싫다.
13,6,1036,코가 한번 막히면 잘 안뚫리는 편인데 잘 뚫려서
13,7,1038,효과는 잇는것도 같은데 그닥 신박하다는 느낌은 없어서
13,8,15,별 효과를 못느낌.
13,9,1041,특별한효과는모르겠다
13,10,18,코 막힘이 조금은 해결되는 것 같아서
13,11,19,큰효과를못바서
13,12,21,효과가 신속하게 나타나서
13,13,819,일시적 사용에도 효능이 있어서
13,14,1053,내성이 걱정되서
13,15,30,"근본적인 치료가 안되고, 주기적으로 계속 사용해야 함."
13,16,341,효과를 신속하게 볼 수 있었다
13,17,757,비염이 일시적이라 자주 사용하지 않는다
13,18,34,별로 효과를 못봐서 사용하다 끊은 제품임
13,19,35,그냥 쓰던거라
13,20,39,효과없음
13,21,43,신속한 효능
13,22,1068,"크게 거부감이 없고, 뭔가 내성이생기지 않는것 같다."
13,23,46,가끔 효과가 없을때가 있어서
13,24,861,특별함없음
13,25,48,자극적이지않고 편안함
13,26,1074,효과의 지속성 가격 및 따져보았을때 그정도 함
13,27,1075,사용후 즉각적인 반응이 없고 분사구 크기가 큰편이라 아이가 거부함
13,28,513,뿌리면 목이 아픔
13,29,1077,"의사의 처방으로 받은 약이라 신뢰할 수 있고, 효과도 좋아서."
13,30,2102,좋은것도나쁜것도없음
13,31,2107,효과가 있을 떄도 있고 없을 때도 있어서
13,32,60,코에 자극이 강한느낌이 들어서
13,33,62,뿌리면 효과가 있어서
13,34,2111,특별히 드라마틱한 효과를 보지 못해서
13,35,864,"그나마 덜 답답해졌던것 같다 
일시적으로라도"
13,36,1090,특별한 단점이 없음
13,37,68,"효과가 신속하게 나타나고, 지속력이 길어서 사용하기 편리하다"
13,38,1093,호전이 잘보이지 않음
13,39,1095,코가 약간 조이는 느낌이 든다고 함.
13,40,74,가지고 다니기 편하고 즉각적인 효과가 있다. 가격도 적당.
13,41,881,효과도 적당하고 크기 및 가격도 적당하다.
13,42,78,먹는약보다 효과가 없는것 같다. 뿌리는 기구가 잘 망가진다
13,43,1107,일시적인 증세 완화에 효과를 봄.
13,44,1108,그냥 효능면에서 다른 거랑 다를게 없음
13,45,1110,"생각보다 빨리 코가 뚫렸고, 증상이 오래남았다"
13,46,89,"특별한 이유 없다 
어떤 때는 효과가 좋지만 어떤때는 뿌리나 마나 한 경우가 있다"
13,47,1114,다른 제품을 많이 사용해보지 않아서 딱히 좋은지 부족한지를 모르겠음
13,48,91,사용 시 회사 업무 하는데 있어서 도움이 됨
13,49,2141,효과가 잘나올때도 있고 아닐때도있어서
13,50,94,"믿을만하다. 
"
13,51,95,효과가 빠르고 아이가 편안해해서..
13,52,97,효과가 신속하게 나타나서 효능이 좋다
13,53,2146,별 불편함없이 시원하게 잘 뚫어줌
13,54,99,증상완화에 효과적이지않음
13,55,2406,내용물이 자꾸 목으로 넘어온다
13,56,1127,주변 지인 추천으로 사용하였는데 효과가 괜찮음.
13,57,107,효과가 있는것같긴한데 길지않고 지속성이 떨어져서
13,58,1042,"효과가 지속적이어서, 낮동안 업무나 회의 시 코막힘이 많이 해소되었음"
13,59,2158,뿌려서 사용하니가 편해서
13,60,1213,다른 차이점을 못 느껴서
13,61,112,심할 때는 잘 되는지 몰랐다가 나중에 좀 풀렸을 때는 괜찮았음
13,62,1214,"코 안이 헐어서 그런지 몰라도, 자극적이었다. 코 속에 뿌릴때 너무 따가웠고, 효능에 대해서도  
느낀게 없어서 그 이후로 더이상 사용하지 않았다"
13,63,2166,잘 효과가 없어서 수술을 했다
13,64,703,대체로 무난함
13,65,2410,편하고 효과도 빠름
13,66,2176,코가 건조할때 주로 사용하는데 효과가 있는것 같다.
13,67,704,휴대하기 편리하고 효과가 있으나 코에 넣는 부분을 세척하기가 어려움
13,68,133,타제품들을 다양하게 사용해보지 않았지만 비교적 나에겐 효과적이어서
13,69,134,효과가 즉각적이진 않은 것 같고 순하다
13,70,1160,"모든 약이 그러하듯이 처음에는 소량으로도 효과를 보았는데, 지금은 투여량이 예전보다 확실히  
 
늘어난 것을 느낍니다."
13,71,997,효과가 좋기 때문에
13,72,140,혁신적인 제품이다
13,73,141,그럭저럭 생활의 불편을 어느정도 해소시켜줌
13,74,1166,좋아지는 느낌이 없음
13,75,2192,"효과가 신속하지만, 심하게 막힌 코를 뚫는데 지속성이 부족한 것 같다."
13,76,2193,지속력이 안좋다
13,77,1170,즉시 효과로 만족할만 하다
13,78,147,다른제품을 사용해보지않아서
13,79,878,사용이 편하고 시원한 느낌이다
13,80,1561,휴대성이 좋고 효과도 좋았다
13,81,1177,일시적으로 코 막힘이 없어지긴 하였으나 금방 다시 코가 막혔다
13,82,155,효과가 신속하게 나서
13,83,158,그냥 효과가 그냥 그렇다
13,84,2207,효과가 오래 지속된다는 느낌을 받지 못함
13,85,1187,일시적으로 나아지는것 같아서
13,86,1190,특별히 좋은점도 나쁜점도 모르겠다. 효과도 그냥 그럭저럭이다.
13,87,1191,코 막힐때 뚫어줬었지만 자주 목으로 넘어갔었음
13,88,2216,사용하기편하고 효능이있다
13,89,169,사용 효과가 매우 탁월해서
13,90,1198,아는 제품이 없다구요
13,91,177,콧구멍 깊숙히 넣어 한번 제대로 뿌려주면 거진 2~3분 이내에 코가 뻥 뚫려서 효능이 좋다.
13,92,179,효능이 엄청 뛰어난 느낌은 아님
13,93,542,"효과, 효능이 좋고 콧속 막힘 뚫어주는 약중에서는 1위라고 알고 있습니다."
13,94,1206,불편해서
13,95,1404,효과가 즉효성이고 나한테 제일 잘맞아서
13,96,1212,자주 사용하던거라 안좋은점이없다
13,97,189,즉시효과
13,98,190,자극이 적고 효과가 좋다
13,99,2241,제품이 순하고 자극적이지 않기때문
13,100,1218,"사용감이 좋고 휴대 편함 
가격 대비 사용량 등 만족함"
13,101,1223,간편하고 별다른 불편함을 못느낌
13,102,1224,편해서
13,103,202,성능이 좋아서
13,104,205,일시적으로 시원할 뿐 호전  되지 않아서
13,105,206,증상에 효과가 있어서
13,106,207,효과와 지속성 둘 다 그닥 나쁜편이 아니기때문에
13,107,1235,일시적인 효과는 있었으나 근본적인 치료는 되지 않았음
13,108,212,그냥그래냥
13,109,1239,코가 시원하고 잘 뚫린다
13,110,216,분무 후 개운함
13,111,1242,효과가 가장 좋은거 같음
13,112,2268,어느정도 효과는 있었지만 지속적이지는 않았음
13,113,221,그때 상황에 따라 틀려서요
13,114,223,"효과가 빠른 느낌이고, 효과 지속성이 좋은 편인 것 같다."
13,115,1248,코가 맑아지는 느낌
13,116,226,분량이 화이트벤의 2배이고 가격도 1000원더 싸다
13,117,227,쓰고나면 코속이 편하다
13,118,1252,속효성
13,119,1253,뿌렸을때 답답함이 바로 해소된다
13,120,232,딱히 좋지도 나쁘지도않다
13,121,1201,아이가 쓰는데 불편함이 없고 코막힘등 효과가 바로 느껴졌다
13,122,1063,지속성이 없다고 생각함
13,123,1262,처음써봐서 좋은지 안좋은지 잘 모르겠음
13,124,1264,"휴대하기 간편하고,, 아이 스스로 이용하기 편리해서"
13,125,2289,한번 사용해서 잘 모르겠슴
13,126,243,코에 뿌리는것을 별로 안좋아라해서
13,127,244,분무되는 세기가 강하지 않아서 아이가 부담스러워 하지 않는다
13,128,2294,괜찮다 코가 뚫리는 거같다
13,129,247,적절한성능
13,130,1272,빠른 효과를 바로 알수 있었다
13,131,1274,별로 증상이 나아지는 것이 없었다
13,132,2431,눈에 띄는 효과가 있거나 극도로 불편하지 않았다.
13,133,253,편리성 지속성
13,134,254,효과가 바로 나타나고 부장용이 없다
13,135,255,사용하기 편하고 사용하고 나면 시원하다
13,136,1280,"증상 개선이 지속되지 않았고, 뿌린 뒤 몇 초 동안만 괜찮았기 때문에"
13,137,257,코가 뻥
13,138,258,효과가 신속함
13,139,554,제품이 괜찮기 때문
13,140,1284,"즉각적인 효과가 있다, 지속적이다"
13,141,1285,효과적이고 외국에서도 쉽게 구입할 수 있어 믿음이 간다.
13,142,1287,일시적으로 멈춘다
13,143,1289,효과가 신속
13,144,1290,"다른제품을 사용안해봐서 평가 내리기 힘들겠지만,  
처음썻을때 빠른 효과로 정말 만족했어요"
13,145,268,코가 뚤리는것 같아서
13,146,270,나중에라도 사용하고싶어서
13,147,1297,의사가 유명한거라고 추천해줘서 지금까지 쓰고있고 잘 듣는편이다
13,148,274,이것밖에 써보지 않아서 타 제품과는 비교하기 어려우나 증상을 완화시켜주는 것 같다
13,149,350,나에게 잘 맞는것같다.
13,150,2328,항상 사용하는 거라
13,151,1305,성능이 우수하다
13,152,282,효과가 빠른 편이다
13,153,1308,공부 할 때 사용했는데 편했다.
13,154,1309,아이들과 함께 쓰는 제품으로 피지오머가 가장 약한제품인듯함
13,155,2335,쓰면서 증상이 완화된 거 같아ㅛ서
13,156,794,사용 편리성이 좋고 휴대성이 좋다. 간편하다.
13,157,560,"뿌리면 진정이 좀 된다, 코가 건조할때 뿌리면 좋다"
13,158,731,신속성 지속성 편리함
13,159,1319,아직 큰 효과를 보지 못하여서(꾸준한 사용을 못해서)
13,160,1321,뿌리면 효과바로옴
13,161,1322,"효과가 빠르고, 지속도 빨라요 . 자주사용은 안하지만 부작용도 없는거같아요"
13,162,2347,코에 약간 자극이 있는것 같아서
13,163,300,가장 신속하게 제일 잘 듣는 것 같아서
13,164,1325,솔직히 확실하게 효과를 모르겠다
13,165,303,별로 효과가 없는 거 같다
13,166,1333,다른 제품에 대해서 별다르게 비교할 정도로 사용한 적이 없어서 효과의 차이를 모르겠어서
13,167,312,증상 완화 효과를 느낄 수 있어서
13,168,1338,크게 나쁜점 없이 불편점을 해소 해 주므로
13,169,315,좋은데 너무 강한것 같음
13,170,2364,효과가 즉각적으로 나타나서
13,171,1344,광고에서 보니 좋아보인다
13,172,321,한번 사용하면 오래감
13,173,323,다른 제품을 사용해 본 기억이 없어서
13,174,2227,내성이 생기는 거 같다
13,175,326,효과가 즉각적이지는 않지만 근본적인 치료에 효과가 있는 것 같다.
13,176,328,부작용이 없는듯 하여...
13,177,329,효과는 잘모르겠따.. 일시적으로만
13,178,1354,"그 전에 사용하던 것이 약국에서 바로 구입한 것이었는데, 처음엔 증상이 좋은지 알았으나 더 악화됨. 
의사가 너무 자극적인 것이라 일시적 효과만 주는 제품이라고 함. 
그래서 의사가 추천해주어서 사용해보았는데 효과가 지속되고 좋았음. 
예전에는 약국에서 바로 구입 가능하였으나 의사 진단없이는 구입할 수 없는 제품으로 변경되었다고 함."
13,179,331,코가뚤리는 느낌이 시웒하다
13,180,1356,바로 코막힘 증상이 완화되어서
13,181,1359,지속력이 오래 간다
13,182,1361,"한두번 사용해보았다 
다른 스프레이와 큰 차이를 느끼지 못했다"
13,183,338,[제품명은 모르지만]성분도 괜찮고 의사추천제품이며 증상도 많이 좋아졌다.
13,184,1251,효과가 있는지 모르겠음
13,185,340,자연재료
13,186,1365,잠깐 사용한 이후에 귀찮아서 사용하지 않아서 효과를 잘 모르겠다
13,187,344,코가 막혀서 잠자기 불편할때 코가 뚤려서 편함 하지만 목으로 액이 넘어서와서 불편함으로 만족하는편
13,188,2395,즉효성은 아니지만 효과가 은은하게 오래간다
13,189,348,"뿌리고 나면 줄줄 흐르고, 코가 오랬동안 뚫이지 않는다"
13,190,1374,효과가 그렇게 즉각적으로 오지않음
13,191,1376,치료효과 없음
13,192,354,사용후에 효과가 좋음
13,193,355,증상이 심할 때만 사용하였고 사용 후 바로 취침에 들어서 정확한 효능을 모른다
13,194,1380,사용하면 코가 시원하다.
13,195,742,눈에띄게좋아지는거 못느낌
13,196,358,증상이 완화된다
13,197,1386,즉각적인 효과가 나타나는 것 같다
13,198,363,사용할 때 효과가 빠르게 나타나서
13,199,1388,딱히 두드러진 특징을 느끼지 못함
13,200,366,아이가 싫어함
13,201,367,"한번 뿌린 후, 지속력이 좋고, 코 안이 덜 자극적인 느낌이다."
13,202,368,아바미스를 사용한 이후로 밤에 잘때 코가 예전처럼 심하게 막혀 하지 않아서 만족합니다.
13,203,744,코막힘에 효과가있는듯하다
13,204,2418,효과를 잘 모르겠고 하루에 사용할 수 있는 용량이 정해져 있어서 건조할때 수시로 복용 할 수가 없다
13,205,1939,신속하게 효과가 나타나고 오랫동안 지속되었습니다.
13,206,1086,무난하다
13,207,1398,이유없음
13,208,375,빠른 효과는 모르겠음
13,209,376,뿌리는데 조금 자극이 있음
13,210,377,"증상자체가 심하다보니  
증상이 호전되는것 같지 않아서"
13,211,378,효과가 나쁘지 않다.
13,212,380,"사용 편리성과 빠른 효과,효능 때문에"
13,213,381,"특정기간에만 사용하기때문에 엄청나게 효과를 느끼는 편은 아니지만  
일시적으로 사용하면 그래도 만족스러운 편이기때문에"
13,214,383,사용감이 좋고 신속하게 코가 뚤림
13,215,384,딱히 단점이 없고 효과가 다른제품들과 비슷한것같아서
13,216,1409,편하다
13,217,1410,분무액이 코로 잘 들어가서 뚫어주는 느낌이 잘 남
13,218,1259,양호해서
13,219,918,쓰고난후 코감기 증상이 경감되는 것 같고 사용하기 편함
13,220,391,장기간 사용해도 특별한 부작용이 없어서
13,221,392,오트리빈 보다 신속성이 좀 떨어지는 거 같아서
13,222,2442,뿌리고 나면 시원해서
13,223,395,필요시 가끔 사용하는 약품으로 효과가 좋은 지는 잘 모르겠음
13,224,399,증상이 호전되었음
13,225,2448,그저그렇다
13,226,405,사용한 순간에 효과가 나타나서
13,227,1433,사용후 신속하게 효과가 나타남
13,228,411,코막힘이 금방 해소됨
13,229,414,"사용하기 편하고, 효과가 좋다"
13,230,2463,사용감이 편리하다.
13,231,416,뿌리면 너무 졸리고 취하는 느낌이다
13,232,1441,빠른효과와 지속성에 만족함
13,233,2466,코가 잘뚫림
13,234,420,효과가 사용할 때 잠시뿐이어서
13,235,422,그 약만 뿌린게 아니라 복용하는 약도 함께해서 효능을 잘 모르게서
13,236,1447,생각보다 효과가 오래지속되지 않았다
13,237,424,뿌리면 숨쉬기가 편해진다
13,238,2369,주변에서 추천을 받은 제품이고 지속적으로 사용시 증상완화의 효과를 보았다.
13,239,427,효과가 비교적 빠른편이고 지속성도 괜찮다고 생각한다.
13,240,429,불만족하는 부분이 없어서
13,241,1458,효과는 좋으나..뿌리는 느낌이 별로임
13,242,2485,근본적인 해결은 하지 못한다.
13,243,1462,"효과가 괜찮았다. 
하지만 스프레이류는 내성이 생긴다는 우려가 있어 사용을 중지하였고 더이상 사용하지 않는다. 
의사나 약사들도 지속적인 사용을 추천하지 않았다."
13,244,2487,코도 빨리뚫리는편이라서
13,245,442,코가 막혔을때 주로 사용하는편인데  코막힘이 금방 해결되는 느낌은 없는것 같다.
13,246,443,나에게는 맞지 않아서 오래쓰지 않았음
13,247,1468,감기에 걸리면 자기 전에 코가 막혀 잠을 자지 못해 뿌리는 용도로 이용하는데 사실 성능은 거기서 거기다. 드라마틱한 효능을 가진 제품이 있다면 갈아타겠음
13,248,1471,금방뚫려서
13,249,903,가격이 저렴하고 세척수이여서 부작용도 없다는 약사의 설명
13,250,1480,꾸준히 써와도 특별한 문제 없었음
13,251,2506,코가 잘안막힘
13,252,461,지속성과 효고가 좋아서
13,253,463,의사가 처방하는데로 그때그때 제품이 바뀌고 타 제품과 별차이가 없다
13,254,2296,효과가 괜찮음 신속하게 코가 뚫림
13,255,2514,코가 시원하다
13,256,2515,쓰면서 증상이 완화되는것이 느껴져서
13,257,2517,내성이 생겨 더이상 효과가 나지 않음
13,258,2518,코가 잘 뚫림
13,259,1495,뿌리기가 불편함
13,260,1500,다른 스프레이 제품과 비교하여 좋은 점이 없음
13,261,477,바로 효과를 볼 수 있었다.
13,262,1502,편하게 사용가능하다.
13,263,1892,믿음이 간다
13,264,1505,효과도 괜찬고 사용하기 편했다
13,265,482,만성이라 고쳐지지 않음
13,266,484,나름 효과가 있기때문에
13,267,2534,효능이 그져 그렇다 생각하고 내성이 강해 효과가 이제 잘 적용되지 않는다.
13,268,1511,기대한 효과와 지속성을보여서
13,269,1039,신속하고 편해서
13,270,489,"뿌렸을 때 다른 제품들은 점막이 쓰라린 듯한 느낌을 많이 받았는데, 거부감이 없습니다.  
내성이 생기지 않는다고 의사가 말해 준 점도 좋습니다.  
약물로 인해 비염이 악화될 수도 있다고 했는데, 이 제품은 그럴 염려가 없다고 해서 좋습니다.  
일시적으로 코 점막을 수축 시키는 것이 아니라 부어 있는 코 점막 전체의 붓기를 빼주어 얇아지게 해 준다는 설명을 들으니, 신뢰가 갔습니다."
13,271,490,사용후 아이가 편해 하니까
13,272,1005,효과가 있다고 느꼈기 때문에
13,273,2541,순간의 효과
13,274,1518,코 답답함이 빨리 제거되나 용기가 잘 파손됨.
13,275,1520,사용시 효과가있었으므로
13,276,497,일시적인 효과는 있으나 만족스럽지 못함
13,277,499,일시적으로만 효과가 있는듯
13,278,500,"오트리빈 뿐만아니라 비강분무 제품을 잘 사용하지 않음 
 
급한경우에만 사용하고 평소에 사용할 경우 사용시에 코에 자극이 와서 증상이 더 심해짐"
13,279,2550,효과의 신속성 및 지속성이 탁월해서
13,280,505,효과를 보고 성능에 만족하기 때문에
13,281,506,일시적 증상완화는 되지만 근본적인 치료가 아니라서
13,282,1279,사용하지않고있음
13,283,1533,광고도 많이 하고있고 제품이 생각보다 효과가 좋아서
13,284,510,보통이기 때문이다. 이것을 어떻게 평가하기 모호하다.
13,285,1537,가격대비 무난한 효능
13,286,598,효과가 빠르고 부작용이 덜하다
13,287,1543,그냥 그렇기때문이죠
13,288,1546,효과가 미미함
13,289,1547,현재 시중의 판매되는 약도 괜찮기 때문에.
13,290,2575,사용하는 방법이 이질감이 있어서 잘 사용하지 않음
13,291,528,증세완화뿐 사용하지않으면 다시 증상생김
13,292,531,효과가 즉각적으로 나타나지는 않지만 재채기나 코의 가려움이 점차 완화되는 편이기 때문이다.
13,293,532,효과가 있다고 생각됨
13,294,2581,그냥 이것 밖에 안써봐서 다른것들은 잘 모르겟다
13,295,534,처음을 제외하고는 효과를 잘 느끼지 못해서
13,296,535,뿌릴때만 효과가 있는 것 같고 몇시간 지나면 또 코막히는 것 같아요.
13,297,2585,잠깐 시원하게뚫리는거 같지만 지속력은 없는거같다
13,298,1562,그냥 그렇다
13,299,2587,그냥 의사가 처방해 줘서 사용해봄
13,300,1566,"오래전 사용하여 정확하게 기억나지는 않으나, 사용 후 콧속에 자극이 조금 심했던 것으로 기억함."
13,301,543,다른 제품을 사용해보지 않았지만 증상의 완화와 구입편리성에서 만족하는 편이다.
13,302,1569,알러지성 비염이라 여름~가을 넘어가는 환절기에 코 안이 많이 간지러운데 증상을 많이 완화해주었다
13,303,2139,어차피 시간이 지나면 다시 증상이 나타나서
13,304,548,효과가 꽤 있는 편이어서 자주 사용한다 원래 사용하던 걸 계속 사용하는 편이기도 하고
13,305,1723,"사실 다른 제품을 써본적이 없고, 효과가 있는것같아서."
13,306,551,쓸수록 효과를 못느꼈다
13,307,552,효과가 그렇게 좋다고 생각되지 않았다
13,308,1578,바로 코가 시원해지는 느낌이 들어서
13,309,2311,주변지인들이 사용해서 써보니 나쁘지 않다 오트리빈과 같은 느낌이라 쓸만하다
13,310,557,내성이 생기는 듯한 생각이 듭니다.
13,311,558,"간편하고, 아이가 거부감 없이 잘 사용하므로"
13,312,1583,제품을 사용했을 때 코가 뚤렸고 지속성도 좋았던 기억이 있음
13,313,1584,효과가 좋았으나 사용할 양이 부족
13,314,1585,사용한 즉시 효과가 좋았다.
13,315,2142,뿌렸을 때 대체로 코막힘 증상이 사라지는 경향을 보였다.
13,316,1591,코막힌것이 잘뚫린 느낌이고 시원해서
13,317,571,사용했을때 일시적이라도 코막힘이 완화되는 현상 때문에
13,318,572,효과가 좋고 대중적으로 많이 이용하는 제품이라서 안심이 된다.
13,319,1597,사용할 때 매우 불쾌한 기분이 든다
13,320,1599,효과는 거으ㅣ 비슷한것 같다.
13,321,576,신속하게 막혔던 코가 뚤어져서
13,322,1602,큰 효과가 있는지 잘 모르겠어서
13,323,2486,효과가뛰어나다
13,324,583,사용이 쉽고 아이가 잘 뿌린다
13,325,1608,사용하면 편안한 느낌이 한번씩 드는것같습니다
13,326,586,증상이 잘 완화 된다
13,327,1611,코안이 잘 뚫림
13,328,589,그냥 약사가 추천해줘서 쓰는 제품
13,329,590,사용시 비염 증상 즉시 완화
13,330,788,비염이 심한정도여서 큰효과를 기대하진 않았고 그렇게 느꼈다
13,331,952,사용하면 코가 시원하고 머리도 안아프다
13,332,1179,사용하기 편하고 효과 있어서
13,333,1622,효과는 나쁘지 않았으나 증상이 자주 나타나 많이 써야했기 때문에
13,334,1625,이유없다
13,335,2653,코아 뚫렸고 효과 봤어요
13,336,2654,일단유명하고 효과 신속하구 시원해요
13,337,1634,사용 후 느낌이 좋다.
13,338,2659,제 질환이 만성이라서 약간의 도움만 받았을 뿐입니다.
13,339,612,병원에서 처방하여 주기적으로 쓰고 있으며 코막힘에 도움이 되고 있지만 조금 쓴맛이 있어 애로점이 있다.
13,340,616,부작용없이 무난하게 사용중이며 빠르지는 않지만 증상이 완화되어서 만족한다.
13,341,2492,별로 불편해서
13,342,1643,효과가 빠르고 진정이 잘 되서
13,343,2671,지속성이 약함
13,344,624,효과도 금방 나타나고 지속성도 괜찮은거 같습니다.
13,345,625,사용시 비교적 빨리 개운해진다
13,346,2919,효과가 좋았고 사용방법이 편리함.
13,347,1653,생각보다 즉각적인 효과는 없어 약간 아쉽지만 다른 제품과 비교했을때 괜찮은것같다
13,348,2665,보통의 효과가 나타나서
13,349,1657,효과는 있지만 엄청좋다고는 못느낌
13,350,1659,그냥 그랬음
13,351,636,효과는 좋은데 느낌이 별로다.
13,352,789,"즉각적 반응, 시원함"
13,353,1672,효과가 느껴진다
13,354,2699,즉시 그리고 지속력이 좋다
13,355,1931,깊숙한 곳까지 뚫리지가 않음
13,356,2272,점막에 자극이 가지 않고 효과가 빠름
13,357,1133,의사 추천으로 사용시작.. 비강이 시원해지는 느낌
13,358,660,비스테로이드제라 안심이 된다
13,359,1687,효과가 오래가고 부작용이 없다
13,360,664,뿌린즉시 효과가 있다
13,361,959,의사처방에 비해 효과가 뛰어나지않다...
13,362,1691,다른 제품은 사용해보지 않아서 잘 비교해볼 수 없다
13,363,2716,신속하고 효과적임
13,364,1306,신속한 효과
13,365,2719,이유는 없습니다
13,366,675,일시적으로 완화는 되지만 근복적인 치료는 안됨
13,367,1702,사용방법이 어렵지 않고 구입하기 편함
13,368,680,시원한 느낌이 들지만 코에 흐르는 느낌이 강했다
