clusterno,,docNo,raw_doc
-1,79,4539_0,예전부터 카스랑 하이트랑 쉽게 접할수 있어서 많이 마셨었는데마셔본결과 맛이 카스는 톡 쏘는 맛이 더 강하고
-1,80,8459,맥주 끝맡에 향기가 좋음 
-1,81,6977,주변에서 가장 많이 보이며 가격도 저렴하여 간단히 마시기 좋은 것 같음 맛은 탄산이 좀 강한듯해서 갈증해소나 느끼한 음식을 먹을 때 자주 이용함
-1,82,3397,상표 색상을 녹색으로 하여 신선한 느낌이 나며 왠지 발으하는데 어감도 끝부부 KEN 으로 좋음
-1,83,5684_2,네임브랜드 명칭도 예쁘다
-1,84,2254_2,고급스럽기 때문에 믿음이 간다
-1,85,2688,달콜함
-1,86,701_0,내가 호가든이라는 맥주 상표를 좋아하게 된 가장 큰 이유는 첫 이미지가 좋아서이다맥주의 맛뿐만아니라 이 맥주를 처음에 어떻게 접하게 되어 어떤 이미지를 가지는 가가 중요했던거 같다
-1,87,5783_1,풍부한거 같고요 병 디자인도 맘에 들고요 가격도 국산제품과 큰 차이가 없어요
-1,88,5943,라거 맥주는 톡쏘는 맛이 강하여 목넘길때에 더욱 시원하게 맥주를 즐길 수 있는것 같다
-1,89,1739,무겁지 않은 맛이면서 목넘김이 좋다
-1,90,3860_1,거품양이 알맞음
-1,91,9730,사실 맛보다는 브랜드를 찾게되는데 가장흔하게 잘알고있는 초록병 하이네켄을 찾는것
-1,92,4000,맥주하면 떠오르는 브랜드 맥주병이 이쁨
-1,93,3212_1,어떤사람은 화장품 냄새가 나는듯하여 싫어한다고도 하지만 나에게는 그 향과 진한 맛이 좋다
-1,94,2694_0,거품과 함께 마셨을 때 부드러운 그 느낌이 좋아요 다른 맥주에 비해 부드럽고
-1,95,308_1,입안에 촥감기는맛이 흑맥주에 끌리는이유라 생각합니다
-1,96,8984_1,손쉽게 주위환경에 노출되있다보니 자연스럽게 손이 많이 가게되었으며 가격도 외국브랜드보다
-1,97,1607_0,국산 맥주와 달리 맥주 거품이 부드러우며 목넘이 좋아 부담스럽지 않아 많이 마셔도 포만감이 덜 느껴져서 자주 찾게 된다
-1,98,6457,일본거주시절 입맛에 맞아서 먹기 시작한것이 지금까지
-1,99,10105,로고에서 느껴지는 산뜻함이 마음에 듦
-1,100,5541_3,엠티같은 행사가 있을때 마트에서 파는 작은 드럼통 맥주로도 접해서 가장 친숙하기 때문에 좋아합니다
-1,101,8810_2,드라이하게 느껴지는 반면에 오비는 구수하고
-1,102,1977,맛있어서 뒷끝이 너무 쌉쌉하지 않고부드러움
-1,103,3486,다른 상표들은 옥수수 밀등 많은것들이들어가는데 하이네켄은깔끔하게 물 맥아 호프 만들어가서 맥주맛이 깔끔해서하이네켄 맥주를 좋아합니다
-1,104,2709,예전에 하이트 공장을 체험을 통한 기억 때문에
-1,105,8242_1,마시고싶은 욕구를 생기게한다
-1,106,6480_1,무료로 제공해 주었는데 그때 마셨던 카스의 맛이 락페의 뜨거운 분위기와 맥주의 시원함에 어우러져 굉장히 강렬하게 이미지가 각인 된듯 함 그 후로 계속 이용하고
-1,107,2897_2,레몬이나 체리등 다양한 맛을 선보이며 특별한 날이나 분위기 낼려고
-1,108,860_2,신뢰할만한 브랜드일 것 같다는 생각을 들게 만들기 때문에 하이트를 가장 선호하는 편이다
-1,109,4966,맥주의 특유의 부드러움과 시원한 탄산느낌이 감칠맛이 나서 선호함
-1,110,3176_2,늘 듣는 이름이네요 술집이나 식당을 가게되면 자연적으로 하이트주세요그럽니다
-1,111,6326_3,판매중이라 더욱 구입하기 쉽다
-1,112,2510_1,가장 흔하게 마실 수 있는 브랜드라서 친구들과 자주 가는 호프집이나 편의점에서 구입하기 쉬워서
-1,113,733_2,적당한 맛으로 일반적인 요리로 치면 간이 잘 맞는 듯한 느낌이 들어서 좋습니다
-1,114,2407_2,맛도 여러가지라서 취향에 맞게 고를 수 있고
-1,115,7211_2,하이트처럼 물냄새가 심하지도 않는 딱 중간맛이라 선호합니다
-1,116,5924,몇몇의 상표를 보면 좀 복잡하게 적혀있는 것이 있는데 기네스는 이름으로만 깔끔하게 글자만 있어서 좋아한다
-1,117,7687_0,예민하지않은제입맛에선 맥주맛이 그게그맛이지만웬지 골드라는색깔이 더 입맛이 땡기고
-1,118,3921_4,패키지에 따르는 방법을 그림으로 표기하여서 처음 접하는 사람도 맛있는 맥주 그대로의 맛을 즐길 수 있도록 하는것이 상당히 마음에 든다
-1,119,161,역사가 깊음
-1,120,1285_0,황금색에 상표이미지는 보리의 풍미를 많이 느끼게 해주고
-1,121,2210_1,김연아가 모델인게 믿음이 간다
-1,122,8119_1,한국에서 비싸서 잘 먹진 못하지만 엄청 부드러워서 애호합니다
-1,123,3445_1,톡쏘는맛없이 다른술을마쉰뒤에먹어도 부담없이 마실수있다는점 이좋아요
-1,124,758_1,맛의 밸런스가 좋아서
-1,125,7564_1,맥주를 좋아하지 않아서 안먹게 되더군요 그런데 맥스는 한번먹어 봤는데 괜찮더라구요 그래서 가끔 맥주마실때는 맥스를먹습니다
-1,126,7725,향이 너무 진하지 않아 적절한 맥주맛을 느낌과 동시에 개인취향이겠지만 적당한 밸런스가 맞는 맥주 같습니다
-1,127,7678_6,솔직히 맥주 미식가가 아닌이상 저와같은 일반 대중들은 다른 맥주와 달리 맛에 큰 차이를 느끼지 못하고
-1,128,3085_4,드라이피니쉬를 시킬때면 씨에프의 싸이 영상이 같이 떠올라 더욱더 시원한 느낌입니다
-1,129,6288,깔끔한 맛과 향
-1,130,5221,대부분 가게에서 판매하기 때문에 쉽게 먹을수 있음 tv광고가 아주 시원해보였음 술땡기게 만듬
-1,131,6840_1,먹을 때 뭔가 기분이 좋아지는 뭔가가 있다
-1,132,7998_0,기존 하이트 제품에 비해 탄산 농도가 높고
-1,133,1278_2,위 두가지가 상표 자체만으로의 맘에 들는 이유이고
-1,134,5254_0,구체적으로 좋아하는 이유는 아직 없습니다만 대학진학 후 음주를 접해보면서 마셔본 맥주 중에 저랑은 잘 맞았고
-1,135,9964,광고를많이해서
-1,136,6380_1,비린내가 다른 술에 비해선 덜한 편입니다
-1,137,863_1,일반 맥주가 아니라 레몬 그레이프 프루트 처럼 과일 맥주라서 더 선호합니다
-1,138,9342,모두가 항상 마시니깐습관적으로 마심 그러나 가끔 다른친구들이 d나 오비 등을 주문해 줘서 먹을때 맛있게 먹은 기억이있음맥주 전문점에서는 수입 맥주를 자주 시키지만 회식이나 직원들과 밥을 먹을땐 주로 카스를 먹게됨
-1,139,9531_0,광고도 좋고병의 디자인도 시원하게 보이는게 맛보고
-1,140,1572,일본에서 처음으로 마셔봤는데 효모의 깊은맛이 좋았습니다
-1,141,789_1,맛있음 외관적으로 봤을때도 상큼함을 줌
-1,142,8008_0,다른 맥주들도 마셔보았지만 향기와 끝맛 탄산정도가 나의 입맛에 제일 잘맛는것 같다
-1,143,1140_3,음식점을 가도 두 종류의 맥주만 파는 곳이 많아서 자연스럽게 카스 맥주를 이용하게 되었습니다
-1,144,4750_1,가장 큰점은 약간 쓴맛이 나기때문에 이 맥주를 좋아합니다
-1,145,7434_2,호가든 같달까 게다가 맛이 괜찮은데도 국내꺼라서 애음한다
-1,146,2051_1,발음이 이름처럼 부드럽다
-1,147,10144_0,맛있어서 부드럽고
-1,148,2654_0,탄산이 덜 심한거 같고
-1,149,3886, 카스는 톡 쏘는 맛이 강하기때문에 다른 맥주에 비해 시원함을 느끼는 정도가 더 센거같다
-1,150,845_1,20대에 마셨던 그 맛이 친숙하고
-1,151,1429_3,가볍게 한두잔은 마실수 있어서 카스를 좋아합니다
-1,152,10197_1,처음엔 향이 있는 카스레몬이나 호가든 같은걸 좋아했는데 서서히 나이들어 갈수록 드라이하거나 싸고
-1,153,4540_0,디자인 색상이 이쁘고
-1,154,3085_3,최근의 시에프까지 그느낌을 잘표현한것 같아서 더욱더 끌립니다
-1,155,4469_0,일단 맥주가 개인적인 취향에 적합하기 때문 도수가 낮아서 부담없이 마시기에 좋다
-1,156,4843_0,광고에서 많이 접하다보니 호프집에 갔을때 떠오르는것이 하이트가 가장 많이 생각나는것 같습니다
-1,157,4944_3,맥주에 홍초를 타서 마시는 걸 좋아하는데 홍초와 같이 먹었을 때 가장 맛있다
-1,158,5786_4,스트레스가 풀린다
-1,159,4913_2,색도 잘보이게 병맥으로도 나와있고
-1,160,3527,부드러움 다른 맥주에 비해 톡쏘는 맛이 덜해서 목넘김이 좋음 특히 거품이 부드러움
-1,161,9084_3,맥스나 오비라거 같은 경우에는 처음 몇잔은 맛이 강하고
-1,162,9538_1,카스 단어도 짧고간결해 기억하기도 쉽구요
-1,163,7268,타 제품에 비해 입에서 쏘는 맛이 일품이며 향이 진하다
-1,164,4732_1,목 넘김이 좋음 특히 일본에서 먹었던 엑스트라콜드를 잊지 못해서 아사히를 냉동실에 잠깐 넣어 두었다가 먹는 것을 좋아함
-1,165,1039,톡쏘는 청량감과 깨끗한 끝맛 칼로리에대한 부담이 없음
-1,166,2934_2,적당한 목넘김과 톡쏘는 정도가 맘에듬
-1,167,935,가장 친근하게 즐기면서도 맛이 좋다
-1,168,2509_1,익숙해서 그런지는 몰라도 다른 수입맥주들은 기분전환겸 가끔가다
-1,169,3242,제일 입에 맞음 로고도 이쁨
-1,170,8260_0,다이어트에 관심이 많은 여성으로써 라이트라는 단어 자체가 가벼운 느낌이 들어서 맘에 들고
-1,171,1698,깨끗함자주접해서 익숙함
-1,172,2046,사실 큰 차이는 모르겠지만 자주 찾게된다
-1,173,6283_5,목이 마르거나 꿀꺽꿀꺽 마셔도 목이 따갑지 않다
-1,174,2952,카스 맥주는 거품이 부드러우면서도 톡 쏘는 신선한 맛이 좋습니다
-1,175,1221,지금까지 먹어 본 맥주 중에는 가격 대비 가장 맛있는듯 수입 맥주를 먹으러 갔을 때는 다른 걸 먹지만 일반적으로 국내 맥주고를때는 카스라이트가 제일나은듯
-1,176,2805,많은 종류의 맥주를 마셔보진못했지만 탄산이라고해야하나 그런칼칼한것들이 강하게 느껴져서 술먹는맛이 나는거같습니다
-1,177,9738_2,각얼음 속에 파묻힌 초록색 병 맥주 제조사중에 거의 몇 안되게 대중적인 이미지를 구축한 상표일듯
-1,178,244,먹어도 살찌지 않는다는 광고와 도수가 쎄지안은듯함 많이 마셔도 별로 취하는걸 못느낌그냥 탄산이 쎈음료같아서
-1,179,3549,어디서나 쉽게 구할수가 있음 국내 다른 맥주와 비교해서 톡톡 쏘는게 맘에듬
-1,180,471_2,보통 축구 챔피언스리그 협찬으로 많이 나오는데 거기에 따른 긍정적 효과가 있다고
-1,181,9303,카피가 맘에 들어서 남자의 맥주 카스
-1,182,503_3,다른 맥주에 비해 취하는 정도도 제일 적당한것 같습니다
-1,183,275_3,거기에 레몬을 같이 먹으면 음
-1,184,7758_1,맛있으며 병맥주를 좋아하는 저에게 손으로 쉽게 따먹을수 있는 것이 큰 장점이라고
-1,185,5636_0,레몬을 넣었을때 가장 상쾌하게 즐길수 있고
-1,186,6671_1,광고중에서 괜찬고
-1,187,10387_1,시원한 끝 맛에 마셨을 때 정말 갈증을 해소하고
-1,188,3040_3,생각이되어 오히려 이런 OB라는 단어를 부각시킬 수 있는 상표라 좋습니다
-1,189,6380_3,트름이 많이 나와 비린냄새를 빨리 맡게되는데 카스라이트같은 경우는 깔끔하게 넘어가고
-1,190,9991_1,틀리며 캔맥을 유리병에 따라마실때 그 맛이 다른 맥주보다
-1,191,4518,일반적으로 주변인들과 술자리를 할때 가장 많이 마시는 주류이기 때문에 익숙해진것이 가장큰 이유인것같다
-1,192,7986_1,맛이 진하면서도 깔끔해서 안주가 없어도 목에 잘넘어간다
-1,193,5446_2,카스라는 발음이 상쾌하다
-1,194,6953,유럽에 갔을 때 먹었는데 그 맛을 잊지 못해서 한국에서도 자주 찾아먹는다
-1,195,7755,가격이 저렴하면서도 부드러운 맥주라서 좋아합니다
-1,196,557_1,마셨을 때 포만감이 적습니다
-1,197,6138_0,황금색이고
-1,198,8284_0,무엇인가 깨끗해 보이고
-1,199,267_4,상표자체의 디자인에 있어서는 보통이지만 기본적으로 맛에 의해 선택한다
-1,200,4566_1,대한민국은 뭔가 맥주가 참 가볍다
-1,201,2849_1,술집에서 맥주를 시키면 카스가 많이 나오기 때문에 거기에 입맛이 익숙해진것같다
-1,202,4619_1,먹어도 크게 부담감이 없는 맛이며 많이 먹어도 그득한 느낌이 덜합니다
-1,203,3475_1,온 가족이 집에서 캔맥주를 먹을 때 항상 하이트를 사먹기 때문
-1,204,2322,밀러 생맥주의 크리미한 느낌이 너무 좋아서 밀러를 좋아한다
-1,205,8682_0,처음 접했을대 레몬을 띄어주는 것이 신선했고그래서인지 맛이 깔끔하고
-1,206,6767,시음 후 입안에 퍼지는 라임향이 좋아서
-1,207,4887,내 입맛에 제일 맞는것 같아서 시원해 보이는 상표 디자인
-1,208,938,풍부한 맛이 일품인 흑맥주 거품의 매력에 빠지면 헤어나올 수 없음
-1,209,6380_0,첫번째 이유는 종류가 다양해서 기분에 따라 취향에 따라 마실수 있고
-1,210,7434_0,최근에 나와서 마시기 시작했는데 뭔가 이름도 괜찮고
-1,211,7941,많이 좋아하짐않지만 그나마 국산에서 젤괜찬은거 갓습니다
-1,212,6676_4,그중에 아사히가 맛디자인브랜드 이미지 종합적으로 우수한듯하여 아시히를 선호합니다
-1,213,131,아일랜드 기네스 공장 투어
-1,214,2995,국산 상표로 오랫동안 접해온 친숙한 제품이라서
-1,215,5775_3,친구나 가족끼리 즐기기 가장 일반적인 맥주이다
-1,216,247,맥주병이나 캔의 디자인 깔끔한 맛 독자적인 브랜드 가치 참신한 광고
-1,217,2302_0,맥주 넘길 때 대부분 캬하는데 맥주 뭐 드릴까요하면 그 생각이 먼저 떠올라 자연스럽게 카스 달라고
-1,218,2420,산뜻해서 좀 간편하게 먹을 수 있는 기분 카프리 한병 정도
-1,219,7865_0,가볍게 마실 수 있는 맥주 본연의 특성을 가지고
-1,220,6615,광고를 통해서익숙해졌기때문이라 생각해요 원빈이 한 광고로 인해 맥주가 맛있어보여 먹어봤더니 맛있어서 드라이디라는 상표도 좋아진거같아요
-1,221,7238_0,처음에 드라이공법이라하여 어떤맛일까 하는마음에 먹어봤는데 기존맥주에서 느끼던 맥주특유의 냄새가 안나고
-1,222,7100,하이트의 아이스포인트라는 명칭이 다른 맥주들에 비해 더 시원함을 전달해주는 것 같은 느낌이 들기 때문이다
-1,223,6593,맥주맛이 부드러우면서도 진함 입맛에 맞음 
-1,224,2786_1,이승기가 좋아하는 연예인이기도 하지만 신뢰가가는이미지라 유독 선호한다
-1,225,9806,대중적인 맛중에서 괜찮은거같다
-1,226,5885_1,현대적인 감각을 가진것같아서 뭔가 멋진 느낌이 들고
-1,227,9128,이름에서 느껴지는 고급스러움
-1,228,9149_1,목삼킴이 부드럽다
-1,229,4097_0,카스가 요즘 젊은 세대에 맞는 맥주 이미지가 강하고
-1,230,5822_1,기네스라는 문구를 다른사람에게 보여주었을때 거의 대부분 알고
-1,231,4922_0,제가 예전 갈비집 알바했는데 주로 판매하는 재품이 카스입니다
-1,232,5982,맥주를 처음으로 맛 본것이어서 개인적으로 버드와이저 브랜드에 인지도가 뇌리에 강하게 남겨져 있음 또한 붉은색 영문철자 타이핑이 고급스러움
-1,233,5900,맥주의 특유의 맛과 향이 일반적으로 판매되는 우리나라 맥주와 달라 계속 찾게된다
-1,234,3173,청량감 달콤씁쓸함 병의 디자인
-1,235,4525_1,부모님이 좋아하셔서 편한 이미지가 있다
-1,236,3047,너무 톡 쏘지도 않으면서 홉의 씁쓸한 맛의 정도가 나의 취향에 맞는다
-1,237,4031,거품과 탄산의 자연스러운 조화 질리지 않는 끝맛
-1,238,5767_0,맛이 씁쓸하면서 다른것과 틀린 고유의 맛이 있다
-1,239,10299_1,뒷맛이 깔끔하며 약간의 레몬맛도 나서 마시기 부담스럽지 않다
-1,240,8535_1,개인적으로 카스 라이트는 칼로리가 적다는 홍보효과 덕분에 먹게됨
-1,241,1244,상표가 이쁨 자주마시는 브랜드라 취향이 같음
-1,242,5323_1,톡쏘는거나 목넘김이 가장 괜찮은것같아요
-1,243,3085_0,맛이 좋은게 첫번째 이유고
-1,244,681_1,곡물 맛이 강한 것 같아 입맛에 맞음
-1,245,5166_0,밀러를 마셨을 때 여타 맥주와는 다르게 온 미각을 채우는 풍부함을 느낄수 있고
-1,246,1468_0,국내맥주중에서는 카스랑하이트가 가장 쉽게 접할수있는데 하이트는 목넘김이 따갑다
-1,247,1236,톡 쏘는 느낌이 상쾌함 남자들이 먹기에 좋을만큼 터프한 목넘김
-1,248,8561_2,구수하면서 향기롭다
-1,249,9169,대부분 술집에가서 맥주를 마실때 한국맥주로 카스 또는 하이트를 만히 판매를 하는데 하이트는 끝맛이 조금 부드럽고카스는 톡쏘는게 맥주마시는 기분이 많이 들어서 카스를 찾음
-1,250,5195_1,과일향 같은 것이 나는 맥주를 개인적으로 싫어함 3 디자인이 마음에 든다
-1,251,962_1,가장 대중적으로 구매가능
-1,252,4121,오래전부터 입맛에 길들여 져서 그런듯 가능하면 맥스를 찾지만 업소에서 구하기는 하이트나 카스가 많은편
-1,253,2284,눈에 잘들어오는 상표에 맥주의 맛이 저와 잘 맞는 것 같기 때문
-1,254,2566_1,나면 입에서 나오는 의성어인 캬의 발음을 맥수 상표로 잘 형상화해서 만든거 같아서 좋아 합니다
-1,255,7908,처음부터 하이트를 먹어서 익숙함 김연아가 광고해서 더 먹어주는  경향 목넘김이 좋음
-1,256,5920_0,기존의 맥주병의 디자인과 다르게 되어있어 딱 보는순간 호기심이 생겨 저절로 손이 가게 되고
-1,257,3237_1,광고속에서 하이트하는 게 들리는 거 같다
-1,258,3344_1,우리나라의 탄산이 대부분인 맥주보다는 부드러운 흑맥주가 매력이 있다
-1,259,7824_0,아사히같은 경우에는 제가 수입 맥주중에 처음으로 즐겼던 맥주이고
-1,260,1149,KGB레몬을 좋아하는데 맥주같지 않은 듯한 그 특유의 맛이 좋아요 여러 안주와도 잘 어울리구요
-1,261,5288_0,오래전부터 먹어왔던 습관적인 것이 강하다
-1,262,4915_2,베일리스와 위스키 기네스로 칵테일도 만들어 종종 마셨었는데 무척 인상에 남는 맛이어요 그 후 광안리 해변에서 기네스 무료시음 행사가 있어서 짆행자가 알려주는 방법에 따라 생맥주로도 직접 따라마셔봤는데 아주 깊은 향이 나는 흑맥주였습니다
-1,263,6586_0,CF가 인상적이었는데 먹어보니 맛보 괜찮았다
-1,264,1303_1,국내맥주에 비해서 톡쏘는 맛과 레몬라임과의 조화가 가장 좋아서 목넘김이 가볍고
-1,265,7280_2,주로 맥주는 여름철 등에 시원함을 느끼기 위해 마시거나 치킨 등 무거운 음식을 먹을 때 같이 마시는 경우가 많은데 가볍고
-1,266,2562,다른맥주에비해 신선도가 더높은거 같아요 다른건 먹을때 물맛이 너무 많이나는데 맥스는 그런게 적어요
-1,267,5944_0,저칼로리 뒷맛이 개운하고
-1,268,5255_2,개인적으로 느끼기에 뒷끝도 없다
-1,269,6589,밖에서 먹을때는 병으로 먹는데 시켜먹게 되면 잘게 슬라이스 해준 레몬을 넣어주는데 그것때문인지 몰라도 약간 맛이 있다는느낌이 든다
-1,270,2243_0,보통의 맥주보다
-1,271,4255_0,1 보리로 만들었다는 특성 때문인지 타 맥주들에 비해 몸에 좀 덜 해로울 것 같다는 생각이 든다
-1,272,8119_0,제가 아프리카 케냐로 유학을 간적이 있었는데 거기서는 기네스를 한국보다는 엄청 싼가격에 자주 마셨읍니다
-1,273,5243,국산중에서 가장 탄산이 살아있는 느낌과 보리의 풍부한 향이 좋다
-1,274,2720_1,이전부터 줄곧 먹던 맥주라 친숙하다
-1,275,4731_0,여러 종류의 맥주를 마셔보지는 않았지만 그중에서는 가장 맛있었던 것 같습니다
-1,276,2434,고소한맛때문
-1,277,7504_1,하이트처럼 너무약하면 먹는거 같지 않지만 카스는 정확하게 딱 좋아서 많이 음용한다
-1,278,1778,처음엔 맥주맛이 거기서 거기라 상표 상관 없이 먹었다가 한창 김수현이라는 배우를 좋아하던 때에 카스 CF에서 김수현이 나오는걸 본후 그때부터 카스만 마시기 시작했습니다
-1,279,2223,음 친숙해서 그런거 같아요 제가 좋아하는 맥주거든요
-1,280,2407_0,술이라는 느낌보다는 탄산음료를 마신다는 느낌이 강해서 부담없이 마실 수 있으면서 맥주를 마셨을 때처럼 알딸딸해지는 느낌도 있으니 술을 잘 마시는 편이 아닌 나에게는 딱 좋은 맥주라고
-1,281,4912,맛있음 특유의 청량감 디자인 브랜드네임 모델
0,0,6980_1,신세대 느낌이 난다
0,1,8990,젊은 느낌
0,2,1606_2,이국적인 느낌이 있다
0,3,10239,톡쏘는 느낌이 좋음
