KEY,doc,raw_doc_tu
44,특유의 향과 맛이 일품이다,특유 향 맛 일품
45,톡 쏘는 맛이 매력적이다  뒷맛이 개운하다  맛있다  계속 먹고싶다  ,맛 매력 뒷맛 개운 맛있
46,맥주가 시원하다. 맛도 좋을 뿐 아니라 이미지도 좋다. 시원한 느낌이 맥자와 잘 어울리고 나의 삶을 표현해주는 것 같다,맥주 시원 맛 뿐 이미지 시원 느낌 맥 자 어울리 나 삶 표현 것
47,많이 쓰지않고 맛있어서,맛있
48,마실때 목넘김이 다른 맥주들에 비해 톡 쏘기 때문.,마실 때 목 넘기 맥주 비하 때문
49,맛잇어서,맛
51,맛이깔끔하고 입맛에 잘맞는다,맛 깔끔 입맛
52,익숙해서,익숙
53,목넘김이 부드럽고 맛이 깔끔하다,목 넘기 부드럽 맛 깔끔
54,맛도 맘에들고 시원하고 청량감이 다른 맥주보다 좋습니다     그리고 광고가 많이 나와서 그런 효과도 있는거 같습니다,맛 맘 시원 청량감 맥주 광고 나오 효과 거
55,맛이 부드럽다.,맛 부드럽
56,맛이 산뜻해서,맛 산뜻
57,싱겁지 않고 목에 톡쏘는 맛?,싱겁 목 맛
58,대중적이면서 심플하다,대중 심플
59,목넘김이 부드럽고 맛도 깔끔해서,목 넘기 부드럽 맛 깔끔
60,맛이 깔끔하고 탄산의 느낌이 경쾌하다,맛 깔끔 탄산 느낌 경쾌
61,칵테일맛이라서,칵테일 맛
62,광고에서도많이봤고 맛도 제일괜찮은거같아서,광고 맛 제일 괜찮 거
63,알코올 농도가 낮은거 같고 맛있어서 먹기 편함,알코올 농도 거 맛있 편하
64,시원하고 더무 쓰지 않다,시원 무
65,"우선 맛이 좋고, 다양한 종류의 맥주를 선택할 수 있는데 그 중 맛이 없다고 느껴지는 것이 없음. 또한 맥주캔의 디자인도 좋음.",맛 다양 종류 맥주 선택 수 중 맛 느끼 것 맥주 캔 디자인
66,"이름이 마음에 들고, 저렴하고 깔끔하다.",이름 마음 저렴 깔끔
67,상큼하고 맛이 깔끕하다,상큼 맛
68,맛이 산토리가 제입맛에는 제일났습니다 상표보다는 딱히 맛히 좋아요 병모양도 생긴게 좋고,맛 산토리 입맛 제일 상표 병 모양 생기
69,값도 싸고 맛도 좋다.,값 맛
70,부드러운 맛이 인상적이어서...,부드럽 맛 인상
71,맥주 맛이 좋아서,맥주 맛
72,맛있다,맛있
73,맛이 순하다,맛 순하
74,술같지 않아서 가볍게 마시기 좋다,술 가볍 마시
75,구입하기 편하고 가격대비 품질이 조타,구입 편하 가격 대비 품질 조타
76,씨에프도 자주 나오고 맛도 그런대로 괜찮고 상점에 가도 자주 접할 수 있어서 입니다,씨 에프 나오 맛 괜찮 상점 접하 수
77,진한맛,진한 맛
78,시원해 보이고.. 선전도 경쾌하고 좋아서..,시원 보이 선전 경쾌
79,예전부터 먹어왔던 브랜드이고 맛이 좋다,예전 브랜드 맛
80,맛이 입맛에 맞음,맛 입맛
81,맛있어서,맛있
82,"정확한 이유는 없으며, 예전부터 하이트만 먹어왔음",정확 이유 예전 하이트
83,순한맛,순하 맛
84,뒷맛이 깔끔하다,뒷맛 깔끔
85,시원한느낌.저칼로리,시원 느낌 저 칼로리
86,"광고를보고나서,신뢰성이가는 느낌때문에,..",광고 신뢰 느낌 때문
87,진하고 좋습니다.,진하
88,마실때의 풍미가 느껴짐  ,마실 때 풍미 느끼
89,맛있다,맛있
90,"맛있고 약간 달콤한 맛이 나며, 거품이 부드럽다.",맛있 달콤 맛 거품 부드럽
91,맛이 깔끔해서,맛 깔끔
92,젊고 매력적이다,매력
93,우선맥주맛이좋아서호감이가고 칼로리가 적다는 것을 어필하는 상표라서좋음,우선 맥주 맛 이 좋아서 호감 칼로리 것 어필 상표
94,하이트 맥주를 즐겨마신다,하이트 맥주 즐기 마시
95,기억하기가 쉽다,기억
96,일단 칼로리가 낮으면서 맛도 나쁘지 않음,칼로리 맛 나쁘
97,순한 넘김,순하 넘기
98,맛있어서...,맛있
99,익숙하고 맛이 시원함.,익숙 맛 시원
100,친구들과 많이 먹어 친근함,친구 친근
101,호가든 맥주를 좋아하기때문에,호가든 맥주 좋아하 때문
102,부드러운 맛,부드럽 맛
103,깔끔한 맛,깔끔 맛
104,광고를 가장 많이 접하였고 일반적으로 술집에서 가장 쉽게 접할수 있습니다. 편하게 시켜서 마실수 있는 맥주로 자리 잡은거 같습니다.,광고 접하 일반 술집 접하 수 편하 시키 마시 수 맥주 자리 거
105,자주 찾는 맥주라서,맥주
106,"하이트에 대해서는 사실 큰 관심이 없었지만, 최근 김연아 선수가 광고를 하면서 하이트의 이미지가 좋아짐.",하이트 대하 사실 관심 최근 김연아 선수 광고 하이트 이미지
107,흰색 배경에 노란색 별모양이 눈에 확들어옴,흰색 배경 노란색 별 모양 눈 들어오
108,맥주가 맛있어서,맥주 맛있
109,맛있음,맛있
110,톡쏘는 맛이 깔끔하고 좋다.  그리고 광고모델도 좋아해서 선호한다.,맛 깔끔 광고 모델 좋아하 선호
111,부드럽고 고급스런 이미지,부드럽 고급 이미지
112,고소한 맛,고소 맛
113,맛이 깨끗하다,맛 깨끗
114,오래전부터 마셔왔던거고 주변에서 쉽게 접할수있다,오래전 마시 거 주변 접하 수
115,맛있어서,맛있
116,다른 맥주보다 톡쏘는 느낌이 강하다,맥주 느낌 강하
117,깔끔한맛,깔끔 맛
118,맛이 진하면서도 깔끔하다,맛 진하 깔끔
119,다른 맥주에 비해 목넘김이 부드럽다.아주 좋다,맥주 비하 목 넘기 부드럽
120,카스의 톡 쏘는 맛이 좋아함. 그리고 상표도 참 무난해서 좋음,카스 맛 좋아하 상표 무난
121,다른맥주에 비하여 맛이 더 좋다.,맥주 비하 맛
122,부드러운 맛,부드럽 맛
123,산뜻하다,산뜻
124,마실때 부드럽고 목넘김이 좋으며 뒤끝이 없고 깔금하고 좋은거 같다,마실 때 부드럽 목 넘기 뒤끝 금하 거
125,맛있다,맛있
126,친근,친근
127,외국 맥주치고는 저렴하다,외국 맥주 저렴
128,부드러운 맛,부드럽 맛
129,'디'라는 상표가 세련되어 보여서,디 상표 세련
130,시원한 목넘김과 탄산의 짜릿함이 정말 맥주구나 라는 느낌이 든다,시원 목 넘기 탄산 짜릿 맥주 느낌
131,아일랜드 기네스 공장 투어,아일랜드 기네스 공장 투어
132,예전부터 자주 먹는 맥주이다.다른 맥주는 대체적으로 안먹음.  특히 소주랑 믹스해서 먹으면 아주 좋다.,예전 맥주 맥주 대체 소주 믹스
133,개인적으로 KGB 맥주를 좋아하기때문에,개인 맥주 좋아하 때문
134,맛이 가장 저에게 잘 맞습니다.,맛 저
135,목넘김이 부드럽고 맥주 맛이 좋습니다.,목 넘기 부드럽 맥주 맛
136,광고가 좋아서,광고
137,부드럽고 맛있다,부드럽 맛있
138,맛있어서,맛있
139,보리맛이 좋아서.,보리 맛
140,기존 맥주보다 칼로리가 낮을 것 같아서 주로이용한다,기존 맥주 칼로리 낮 것 이용
141,입맛에 가장 잘맞아서 좋아합니다.,입맛 좋아하
142,맛있다,맛있
143,깔끔한 맛과 고급스런 이미지때문에 하이네켄에 자주 손이 간다.,깔끔 맛 고급 이미지 때문 하이네켄 손
144,흑맥주로 깔끔한 뒷맛,흑 맥주 깔끔 뒷맛
145,어디서든 구하기 쉽고 많이 접해본 상품이라 그런지 입맛에도 잘 맞는 것 같다.,어디 구하 접하 상품 그렇 입맛 것
146,가장 친숙한 맛,친숙 맛
147,최초 광고 시작할 때부터 광고가 좋았고(천연암반수 광고였던듯) 또 최근에도 스포츠스타가 나온 광고라서 기억에 많이 남음. 맥주간 맛은 거의 비슷하지만 광고 마케팅면에서 하이트에 끌리는 듯.,최초 광고 시작 때 광고 천연 암반수 광고 듯 최근 스포츠스타 나오 광고 기억 맥주 간 맛 비슷 광고 마케팅 면 하이트 끌리 듯
148,예전부터 마셔왔던 브렌드이기 때문에,예전 마시 브렌 드 때문
149,칼로리 걱정이 덜하고 부드럽다,칼로리 걱정 덜하 부드럽
150,뒷맛이 깔끔하고 개운하다,뒷맛 깔끔 개운
151,가장 국민적이고 대중인적인 맥주로 맛이 항상 내 입맛을 사로 잡는다,국민 대중 인 맥주 맛 내 입맛 사
152,맛있음,맛있
153,맛이 급격히 좋아졌다  기존에는 국산을 먹으면 MAX만 찾았는데  요즘은 오비골든라거만 찾게된다  오비골든라거는 광고를 본적이 없다   광고하면 맥스가 생각나지만  역시 맥주는 맛이 생명이다~,맛 기존 국산 요즘 오비 골든 라거 오비 골든 라 것 광고 본적 광고 맥스 생각나 맥주 맛 생명
154,맛있다.,맛있
155,맛있다,맛있
156,맛있다.,맛있
157,김연아의 광고가 활력이 넘치고 시원해보여서 입니다,김연아 광고 활력 넘치 시원
158,부드럽고 목넘김이 타 맥주에 비해 나한테 잘 맞다,부드럽 목 넘기 맥주 비하 나
159,광고효과와 시원함.,광고 효과 시원
160,원빈이 광고를 하여 이미지의 호감도가 상승하였고 시음시 깔끔한 느낌이 좋습니다.,원빈 광고 이미지 호감 상승 시음 깔끔 느낌
161,역사가 깊음,역사
162,마셨을때 목넘김이 제일 좋은 맥주,마시 때 목 넘기 제일 맥주
163,상표를 좋아해서 라기보단 카스 술 자체를 좋아 하는 것 입니다,상표 좋아하 라 카스 술 자체 것
164,톡쏘는맛이 좋음...,맛
165,상큼해보임,상큼 보이
166,저칼로리 깔끔한맛,칼로리 깔끔 맛
167,알코올 맛이 덜하고 음료수 같은 느낌이 있어서 마실때 잘 넘어가므로    개인적으로 제일 좋아함.,알코올 맛 덜하 음료수 느낌 마실 때 넘어가 개인 제일 좋아하
168,카스의 무겁고 톡쏘는 맛을 아주 좋아한다,카스 무겁 맛 좋아하
169,가장 대중적이고 입맛에 맞다,대중 입맛
170,맛이 부드럽다,맛 부드럽
171,맥주 하면 하이트만 먹어서..^^,맥주 하이트
172,호가든벨기에 맥주를 먹어봤는데  오렌지향이 나면서 목넘김이 부드러웠음,호가든 벨기에 맥주 오렌지 향 목 넘기 부드럽
173,목넘김이 부드럽다,목 넘기 부드럽
174,맥주맛이 좋다,맥주 맛
175,일단 내입맛이 맞다.  그리고 회사회식땐 모두 카스를 먹는다.  CF의 영향도 큰거같다,내 입맛 회사 회식 때 카스 영향 거
176,카스가 그냥 맛이좋아요,카스 맛
178,옛날부터 계속 애용해오고있는 맥주이며 약간 씁슬한 맛이 좋으며 목 넘긴  맛이 좋아요,옛날 애용 맥주 맛 목 넘기 맛
179,먹어본 중에 제일 맛있습니다,중 제일 맛있
180,맥주 맛이 좋아서,맥주 맛
181,맛이 독특하고 맛있다,맛 독특 맛있
182,맛있다,맛있
183,무난하게 좋음,무난
184,제일 무난함,제일 무난
185,맛이 상쾌하고 시원하다,맛 상쾌 시원
186,탄산이 심하게 쏘지 않으면서도 목넘김이 좋고 부드러운 반면  맛은 깊은 편이기때문에 좋다.,탄산 심하 목 넘기 부드럽 반면 맛 편 때문
187,톡 쏘는 맛이 있다,맛
188,맛이 독특해서,맛 독특
189,맛이 좋기 때문에,맛 때문
190,부드러운 거품과 뒷맛이 깔끔하고 씁쓸한 맛이 일품이다,부드럽 거품 뒷맛 깔끔 씁쓸 맛 일품
191,특별히 맛때문에 좋아하는것이 아니라 친숙해서 마시는 편이다.,맛 때문 좋아하 것 친숙 마시 편
192,가격도 저렴하고 맛있따.,가격 저렴 맛
193,광고노출이 많아서 가장 친근하다.,광고 노출 친근
194,깔끔하고 단맛이남,깔끔 단맛 이남
195,맥주맛이 부드럽다.,맥주 맛 부드럽
196,쌉싸름한 맛이 좋다,맛
197,맛이 부드러워서,맛 부드럽
198,맛이 있기 때문이지요..,맛 때문
199,맛있고 가벼워서,맛있 가볍
200,맛,맛
201,요즘 cf가 재미있어서 먹어봤는데 가볍고 맛이 괜찮더라구요,요즘 재미있 가볍 맛 괜찮
202,보리맛이 강해서,보리 맛 강하
203,부드러운 맛  엔젤링,부드럽 맛 엔젤 링
204,이뻐서,이쁘
205,톡쏘는 맛...탄산이 많은 것 같다,맛 탄산 것
206,맛있다,맛있
207,깔끔하고 부드럽다 그리고 하이트에 비해 병에서 비린내(오줌냄새 비슷한)가 안난다,깔끔 부드럽 하이트 비하 병 비린내 오줌 냄새 비슷
208,광고가 맛을 적절하게 표현을 잘했고  맛있다,광고 맛 적절 표현 맛있
209,맛이 깊고 풍부하다,맛 풍부
210,목넘김이 부드러움,목 넘기 부드럽
211,가장 익숙해서 좋아합니다,익숙 좋아하
212,깔끔한 맛과 향이 부드러움.,깔끔 맛 향 부드럽
213,레몬과 함께 상큼하게 마실 수 있음,레몬 상큼 마시 수
214,목넘김이 젤 좋고 호프향이 제일 살아있다. 쓰지않고 부드럽다    제일 맥주같다,목 넘기 젤 호프 향 제일 부드럽 제일 맥주
215,맥주 거품이 부드러워서 마신다,맥주 거품 부드럽 마시
216,여러 종류의 맥주를 마셔봤지만 가장 처음 접했었고 오랬동안 마셔온 맥주라서 좋아합니다. 맛도 물론 깔끔하고요.쓴 맛이 나지 않아 좋습니다.,종류 맥주 마시 처음 접하 동안 마시 맥주 좋아하 맛 깔끔 맛
217,다른 맥주보다 고소함,맥주 고소
218,먹었을 때 톡 쏘는 그 맛이 좋다.  그리고 목 넘김이 왠지 부드러운 것 같다.,때 맛 목 넘기 부드럽 것
219,상쾌하고 청량한 느낌,상쾌 청량 느낌
220,맛있어서,맛있
221,맛이 좋아서,맛
222,신선하고  네덜란드상표여서 더 좋고  맥주의 역사와 전통이 있어서,신선 네덜란드 상표 맥주 역사 전통
223,맛있다  ,맛있
224,같이 마시는 사람이 좋아해서 자연스럽게 마시고 있음,마시 사람 좋아하 자연 마시
225,원래부터 즐겨마시던 브랜드이다 독특한 맛과 향이 좋다,원래 즐기 마시 브랜드 독특 맛 향
226,맛좋음,맛
227,약간 순한면서 청량감이 있음,순 한 청량감
229,입 안 가득 퍼지는 풍미,입 퍼지 풍미
230,맛도 괜찮고 캔 디자인도 마음에 든다.,맛 괜찮 디자인 마음
231,톡쏘는 맛이 신선하고 개운하다,맛 신선 개운
232,흑맥주의 대표브랜드로 맛이 부드럽고 목넘김이 좋으며 맥주의 깊은 맛이 살아있다,흑 맥주 대표 브랜드 맛 부드럽 목 넘기 맥주 맛
233,맥주의 맛이 좋다,맥주 맛
234,부드럽고 목넘김이 좋다,부드럽 목 넘기
235,국내에서 마실 수 있는 캔맥주의 맛은 천편일률적인데 맥스는 그와 다른 맛을 느낄 수 있다.,국내 마시 수 캔 맥주 맛 천편일률 맥스 그 맛 느끼 수
236,깔끔한 맛이 인상적이여서 좋다.  탄산도 적당히 시원하다는 느낌이 들 정도로 있어서 좋다.,깔끔 맛 인상 탄산 시원 느낌 정도
237,거품 맛있어,거품 맛있
238,가장 좋아하는 맥주이기 때문에.,좋아하 맥주 때문
239,부드러운 맛으로 제품을 좋아함,부드럽 맛 제품 좋아하
241,맛있음,맛있
242,해외축구를 많이 접하다보니 광고가 많이 노출되어있다.  그리고 맛도 괜찮다.,해외 축구 접하 광고 노출 맛 괜찮
243,상쾌한 맛,상쾌 맛
244,"먹어도 살찌지 않는다는 광고와 도수가 쎄지안은듯함.  많이 마셔도 별로 취하는걸 못느낌,그냥 탄산이 쎈음료같아서",살찌 광고 도수 듯 마시 취하 것 못 느낌 탄산 음료
245,맛이 달달하여서,맛
246,끝맛이 깔끔하다,끝 맛 깔끔
247,"맥주병이나 캔의 디자인, 깔끔한 맛, 독자적인 브랜드 가치, 참신한 광고",맥주병 캔 디자인 깔끔 맛 독자 브랜드 가치 참신 광고
248,끝맛과 목넘김이 좋다.,끝 맛 목 넘기
249,내 입맛에 잘 맞고 맥주 이름이 좋다,내 입맛 맥주 이름
250,"녹색 병의 디자인, 부드러운 맛",녹색 병 디자인 부드럽 맛
251,발음이 상쾌해서,발음 상쾌
252,부드러움과 따로 컵이 있다는 그 레어,부드럽 컵 레어
253,깔끔하다,깔끔
254,맛이좋다,맛
255,가격이 싸면서 먹을만하다.,가격 만
256,맛이 깊고 목넘김이 부드럽다.,맛 목 넘기 부드럽
257,레몬맛을 좋아하는데 음료수같기도 하고 목넘김이 좋아서,레몬 맛 좋아하 음료수 목 넘기
258,맛,맛
259,"탄산이 없고, 부드러운 크림맛이 일품",탄산 부드럽 크림 맛 일품
260,예전에 눈으로 마신다라는 광고가 아직도 인상에 남아있어서 그렇습니다.,예전 눈 마시 광고 인상 그렇
261,맛 보다 이미지..,맛 이미지
262,목넘김이 좋고 산뜻한 끝맛이 좋음,목 넘기 산뜻 끝 맛
263,여러가지 맥주를 먹어 보았는데 하이네켄이 깔끔하고 맥주맛이 강하게 나서 개인적으로 좋아합니다.,가지 맥주 하이네켄 깔끔 맥주 맛 강하 나서 개인 좋아하
265,특유의 탄산의 쏘는 맛이 강해서 좋아합니다.,특유 탄산 맛 강하 좋아하
266,개운한 맛,개운 맛
267,카스라이트는 맛이 깔끔하고 시원하다. 좋아하는 다른 맥주에는 특유의 향이 있어 기분에 따라 좋을때가 있고 나쁠때가 있지만 카스는 베이직한 맛이 있어 좋아한다. 상표자체의 디자인에 있어서는 보통이지만 기본적으로 맛에 의해 선택한다.,카스 라이트 맛 깔끔 시원 좋아하 맥주 특유 향 기분 따르 때 나쁘 때 카스 베이직 맛 좋아하 상표 자체 디자인 보통 기본 맛 의하 선택
268,가장 대중적으로 많이 알고 있으므로,대중
269,맥주지만 약간 높은 도수가 좋다,맥주 도수
270,생맥주로 많이 먹음,맥주
271,깔끔하고 목넘김이 좋다..,깔끔 목 넘기
272,"지나치게 톡 쏘지도 않으면서 맥주보리의 맛이 시원하게 나고, 물맛이 좋다. 맛이 씁슬하지 않다는 점도 장점이다.",지나치 맥주 보리 맛 시원 물 맛 맛 점 장점
273,가장 신선하고 시원한 느낌,신선 시원 느낌
274,"다양한 맛, 낮은 도수",다양 맛 도수
275,마시고 느낌이 깔끔하고 상쾌해서 특히 살짝 얼린 코로나는 더욱 맛있습니다.  거기에 레몬을 같이 먹으면 음....,마시 느낌 깔끔 상쾌 얼리 코로나 맛있 거기 레몬
276,맛이 좋다보니 상표도 좋아짐,맛 상표
277,거품. 향,거품 향
278,고급스러움. 맛의 질,고급 맛
279,깔끔해서,깔끔
280,풍부한거품,풍부 거품
281,자주 마시던 맥주이므로.. 가장 친숙하고 익숙하다,마시 맥주 친숙 익숙
282,맛이 좋아서,맛
283,맥주 맛이 조아서,맥주 맛 조
284,시원한 청량감이 있어서,시원 청량감
285,"크리미한 거품과 진한 흑맥주의 맛, 한잔을 다 비울때까지 사라지지 않는 거품기술",크리미 거품 진하 흑 맥주 맛 한잔 비우 때 사라지 거품 기술
286,맛이 좋고 가장 대중적이어서 술자리에서 주로 시키게 되는 편이다,맛 대중 술자리 시키 편
287,맛도 그렇게 떨어지지 않지만 칼로리가 적다고 해서 조금이라도 살 찌지 않는데 도움이 될것 같아서 즐겨 마심,맛 그렇 떨어지 칼로리 조금 도움 것 즐기 마시
288,맛있음,맛있
289,맛이 부드럽고 다른 맥주와 달리 독특한 향과 맛이 있어서,맛 부드럽 맥주 독특 향 맛
290,이유없음,이유
291,톡쏘는 청량감과 깨끗함,청량감 깨끗
292,카스가 맥주중에 제일 맛있다,카스 맥주 중 제일 맛있
293,맛때문에,맛 때문
294,특유의 깊고 진한맛,특유 진한 맛
295,맛이 깔끔하다.,맛 깔끔
296,톡소는 맛을 느끼게 해줘서,소 맛 느끼
297,시원한 맛,시원 맛
298,기네스 생맥주를 좋아하는데 기본 흑맥주를 좋아하고 생맥주의 크림과 맥주 맛을 좋아한다,기네스 맥주 좋아하 기본 흑 맥주 좋아하 맥주 크림 맥주 맛 좋아하
299,"카스는 다른 것에 비해 맛이 고소하고, 목넘김이 좋다",카스 것 비하 맛 고소 목 넘기
300,맛있습니다.,맛있
302,맥스를 좋아하기 때문에,맥스 좋아하 때문
303,상쾌함,상쾌
304,맛이 좋은 맥주로 기억되기 때문,맛 맥주 기억 때문
305,친근하기때문에,친근 때문
306,상큼한맛 향,상큼 맛 향
307,맛있어서,맛있
308,자주먹진않지만 흑맥주를 선호하는편이고 입안에 촥감기는맛이  흑맥주에 끌리는이유라 생각합니다,흑 맥주 선호 편 입안 흑 맥주 끌리 이유 생각
309,시원하고 끝이 깔끔한 맛이 좋다.  그리고 광고를 많이 해서 일단 눈이 간다.  캔으로 먹을때는 카스를 제일 먼저 찾게된다.,시원 끝 깔끔 맛 광고 눈 캔 때 카스 제일
310,친구가 한번 권유해서 마셔보았는데 100%보리로만 만들어져   다른것에 비해 목넘김이 더욱 부드러웠던것같음,친구 번 권유 마시 보리 만들 것 비하 목 넘기 부드럽 것
311,친근하고 깔끔하다. 무난하다,친근 깔끔 무난
312,레몬이 들어있어서 다른 맥주보다 더 맛있다,레몬 맥주 맛있
313,맛이 깔끔하다,맛 깔끔
314,카스에비해 맛있음,카스 비하 맛있
315,순하고 칼로리가 적게 나가서,순하 칼로리 나가
316,"목넘김이 부드럽고, 보리향이 진해서 좋아합니다.",목 넘기 부드럽 보리 향 진하 좋아하
317,맛이 가장 좋음,맛
318,병맥주를 즐겨 마시는 편인데  카프리가 싼편이며 병따기가 간편하고(돌려서)  내가 생각하는 맥주맛과 같아서,병 맥주 즐기 마시 편 카프리 편 병 간편 돌리 내 생각 맥주 맛
319,마셨을때 시원하고 목넘김이 부드러움,마시 때 시원 목 넘기 부드럽
320,맛있어서 좋아함.KGB 레몬을 좋아합니다.,맛있 좋아하 레몬 좋아하
321,부드러운 거품과 보리의 깊은맛때문에,부드럽 거품 보리 맛 때문
322,맛있음. 여러가지 맛이있어서 음료처럼 즐길수있다.,맛있 가지 맛 음료 즐기 수
323,한국맛,한국 맛
324,깔끔한 맛,깔끔 맛
325,자주 마시는 흑맥주,마시 흑 맥주
326,일단 맛이 깊고 좀더 씁쓸한 느낌이 좋다.  항상 가는 술집에 술잔이 카스 맥주잔이고 친구들도 다 카스 맥주를 많이 먹는다.  제일 맛있는것같다.,맛 씁쓸 느낌 술집 술잔 카스 맥주잔 친구 카스 맥주 제일 맛있 것
327,무엇보다 맛이 진하고 마실때마다 다시 먹고 싶어서,무엇 맛 진하 마실 때
328,느낌이 좋다,느낌
329,우리나라대표상표라고생각합니다,우리나라 대표 상표 생각
330,보드카와 레몬으로 상큼하고 깔끔한 맛에 많이 찾는다!,보드카 레몬 상큼 깔끔 맛
331,입맛에 맞아서 가장많이 마셔왔던 상표이기때문이다.,입맛 마시 상표 때문
332,탄산이 많지 않다,탄산
333,친구들이 자주 권해서,친구 권하
334,흑맥주를 좋아하는데요 스타우트의 흑맥주가 부드럽고 맛있어서 좋아합니다,흑 맥주 좋아하 스타우트 흑 맥주 부드럽 맛있 좋아하
335,"맛이 쓰지 않고 괜찮고, 가격이 적당하다고 생각됩니다.",맛 괜찮 가격 적당 생각
336,탄산이 부드럽고 쓴맛이 덜함. 맛이 깔끔함.,탄산 부드럽 쓴맛 덜하 맛 깔끔
337,맛이 구수하고 국산 맥주이기때문에 값이 비교적 싸다,맛 구수 국산 맥주 때문 값 비교
338,국산맥주에서 느낄수 없는 특유의 맥주향이 느껴져서 좋다  국산 맥주는 끝맛이 약간 밍밍한데 호가든은 특유의 씁슬한 향이 코로 올라올때 굉장히 고소해서 매력이 있다.,국산 맥주 느끼 수 특유 맥주 향 느끼 국산 맥주 끝 맛 호가든 특유 향 코 올라오 때 고소 매력
339,달콤함을가진 음료같으면서도    알콜을가지고있는 묘미,달콤 가지 음료 알콜 가지 묘미
340,레몬향이 나면서도 맥주맛이 나서 좋다,레몬 향 맥주 맛 나서
341,시원하다,시원
342,맥주의 맛 특히 거품이 정말 맛있습니다.,맥주 맛 거품 맛있
343,색감이 좋고 광고자체가 산뜻해서 기억에 남음,색감 광고 자체 산뜻 기억
344,부드럽고 맥주특유의 맛이 많이 나서 좋은거 같다.,부드럽 맥주 특유 맛 나서 거
345,시원한 맥주의 느낌을 표현해주어서,시원 맥주 느낌 표현
346,맛도 있거니와 광고모델이 정우성이라서,맛 광고 모델 정우성
348,톡쏘는 특유의 맛,특유 맛
349,톡쏘는 맛이 강하면 목넘김이 시원하다,맛 강하 목 넘기 시원
350,맛이 진하고 뒷맛이 깔끔하다.,맛 진하 뒷맛 깔끔
351,맛이 깔끔하고 레몬향이 좋아서,맛 깔끔 레몬 향
352,깔끔하고 시원한맛,깔끔 시원 맛
353,제조맥주와 비슷한 맛  다른맥주와의 맥주 맛의 차별성  특유의 향,제조 맥주 비슷 맛 맥주 맥주 맛 차별성 특유 향
354,맥자구 맛잇어서,맥 자구 맛
355,목넘김이 좋다,목 넘기
356,병맥주로 마시기가 편하고 맛이 있음,병 맥주 마시 편하 맛
357,어딜 가나 있는 맥주라서 쉽게 접할 수 있어서,어디 맥주 접하 수
358,가격이 저렴해서,가격 저렴
361,풍미한 맛,풍미 맛
362,친근함으로 오래도록 판매되어서,친근 판매
363,무난해서,무난
364,다른 맥주와 다르게 목넘김이 좋다,맥주 다르 목 넘기
365,그냥 익숙하기도하고 먹은지도 오래댔고  맛있음,익숙 맛있
